drug_name,sanskrit_name,transliteration,image_urls,ocr_text
Dhamargava,धामार्गव,dhāmārgava,"https://www.medicinalplants.in/slokaimages/1044/1044_1.jpg
https://www.medicinalplants.in/slokaimages/1044/1044_2.jpg
https://www.medicinalplants.in/slokaimages/1044/1044_3.jpg
https://www.medicinalplants.in/slokaimages/1044/1044_4.jpg","क्ष्वेडस्तिकः
कटुस्तीक्ष्णोडप्रगाढश्च प्रशस्यते
कुष्ठपाण्ड्वामयप्लीहशोफगुल्मगरादिषुII (Dhn)
Ksveda is tikta, katu in rasa, tiksna in guna, apragadha
cures kustha, pandu, pliha, sopha, gulma and gara visa.

जोशातकी तु शिशिरा कटुकाउल्पकषायका
पित्तवातकफघ्नी च मलाघ्मानविशोधिनी |
धाराकोषातकी स्निग्धा मधुरा कफपित्तनुत्
ईषद् वातकरी पथ्या रुचिकृद् बलवीर्यदा
(Rin)
Kosataki is katuka, alpa kashayaka in rasa, sisira,
alleviates pitta, vata, kapha, is mala adhmana visodhani
Dhara kosataki is madhura in rasa, snigdha in guna
alleviates kapha, pitta, slightly increases vata, is pathya,
promotes ruci, bala and veerya.

राजकोषातकी गरे गुल्मोदरे कासे वातश्लेष्मामये स्थिते|
कफे च कण्टक्वस्थे
कफसञ्चयजेषु चIl (चरक.क.अ.४)
Raja kosataki cures gara, gulma, udara, kasa, diseases
of vata slesma, kapha aggravated in kantha and kapha
accumulated conditions

कोषातकी कफार्शोघ्नी पक्वामाशयशोधिनी|| (Rjv)
Kosataki cures kapha arsa and helps in evacuation of
waste from pakvamasaya."
Dhanvana,धन्वन,dhanvana,"https://www.medicinalplants.in/slokaimages/822/822_1.jpg
https://www.medicinalplants.in/slokaimages/822/822_2.jpg","धन्वनःपिच्छिलत्वक्चधनुर्वृक्षोमहत
Synonyms
Of
Dhanvana
are
Picchila,
Tvak
Dhanurvrksha mahat

धन्चनस्तुवरोवृष्योमधुरःकटुमोतक
बल्योरूक्षोलघुश्चैवधातुवृद्धिकरोमतः
किंचिदुष्णश्चसंप्रोक्तोव्रणरोपणकारकः
कफवातहरोदाहशोषकण्ठरूजापहः
रक्तरुक्पित्तकासघ्नःपीनस्यविनाशकः
फलंचास्यस्वादुशीतंतुवरंकफवातहम्
Dhanvana is tuvara,
madhura, katu in rasa, laghu, ruksa
in guna, slightly usna in veerya,
vrshya, balya, promotes
dhatu vrddhi
vrana ropana, alleviates kapha, vata,
cures daha, sosa, kantha ruja, rakta, ruk, pitta, kasa,
pinasa
Its phala is svadu, tuvara in rasa, sita in veerya,
alleviates kapha, vata"
Dhanyaka,धान्यक,dhānyaka,"https://www.medicinalplants.in/slokaimages/68/68_1.jpg
https://www.medicinalplants.in/slokaimages/68/68_2.jpg
https://www.medicinalplants.in/slokaimages/68/68_3.jpg
https://www.medicinalplants.in/slokaimages/68/68_4.jpg
https://www.medicinalplants.in/slokaimages/68/68_5.jpg
https://www.medicinalplants.in/slokaimages/68/68_6.jpg","धान्यकं
मधुरं शीतं कषायं पित्तनाशनम्
ज्वरकासतृषाच्छर्दिकफहारि च दीपनम् II (Rjn)
Dhanyakam is madhura, kashaya in rasa, sita in paka, pitta
nasana cures jvara, kasa, irsa, chardi, kapha and is dipana

रोचनं दीपनं वातज फदौर्जध्यbाशbोम् | (C.S.Su २७)
Dhanyaka is rocana, pacana, alleviates vata, kapha and
daurgandhya.

भक्ष्यव्यञ्जनभोज्येषु विविधेष्ववचारिता
आर्द्र कुस्तुम्बरी कुर्यात् स्वादु सौगन्ध्यहृद्यताम् Il (Su.S Su ४६)
Fresh dhanyaka used for processing various food items and
condiments brings deliciousness, good aroma and agreeableness

आर्द्रका
मूत्रला नच
पित्तकृत्
भोज्यव्यञ्जनभक्ष्येषु
प्रयोजिता ||
आर्द्रा कुस्तुम्बरी स्वर्या स्वादु सौगन्ध्यहृद्यताम्
सा शुष्का मधुरा पाके स्निग्धा तृड्दाहजाशिनी Il (Mdn)
Ardra Dhanyaka is Katu, Tikta in Taste, Usna in Potency Mutrala
Pitta karaka, when used in the preparation of different types of
food and condiments it is Svarya, Svadu, Saugandhya hrdyatama
Suska is Madhura in Paka, Snigdha, TrtDaha nasini.
कटुतिक्तोष्ण
विचित्रेषु

धान्यकं
स्निग्धमवृष्यं मूत्रलं लघु |
तिक्तं कटूष्णवीर्यं च दीपनं पाचनं स्मृतम् Il
ज्वरघ्नं रोचनं ग्राहि स्वादुपाकि त्रिदोषनुत्
तृष्णादाहवमिश्वासकासामार्शः कृमिप्रणुत् |l
तद्गुणं स्वादु विशेषात्पित्तनाशिं तत्
(Bpn)
Dhanyaka is Tuvara in Taste Snigdha, Avrsya, Mutrala, Laghu in
Property
Tikta Katu in Taste
Usna in Potency Dipana
Pacana,
Jvaraghna, Rocana, Grahi, Svadu in Paka, Tridosha hara, cures
Daha, Svasa Vami, Kasa
Ama
Arsa, Krmi. Ardra is
Svadu, Visesat Pitta nasaka.
तुवरं
आर्द्रन्तु
Trsna

आर्द्रा कुस्तुम्बरुः
स्वादुसौगन्धहृद्यताम्
सा शुष्का मधुरा पाके स्निग्धा
तृड्दाहनाशिनी Il
धान्यकं
कासतृट्छर्दिज्वरहृच्चक्षुषो हितम्
कषायतिक्तमधुरं हृद्यं दीपनपाचनम् Il (Dhn)
Ardra Kustumburu is Svadu, Saugandhya, Hrdya. Suska is
Madhura in Paka, Snighda, Trt Daha hara. Dhanyaka is Kasa Trt-
Chardi  Jvara Hrt Cakshu Hita is
Kashaya, Tikta
Madhura in taste
Hrdya and Dipana and Pacana
कुर्यात्"
Dhataki,धातकी,dhātakī,"https://www.medicinalplants.in/slokaimages/1728/1728_1.jpg
https://www.medicinalplants.in/slokaimages/1728/1728_2.jpg
https://www.medicinalplants.in/slokaimages/1728/1728_3.jpg","धातकीताम्रपुष्पीचधात्रीचधातृपुष्पिका
Dhataki,
Tamra
puspi,
Dhatri,
Dhatru
puspika
are
the
synonyms

धातकीकटुकाशीतामदकृत्तुवरालघुः
तृष्णातिसारपित्तास्रविषक्रिमिविसर्पजित्
(Bpn)
Dhataki is katu, tuvara
in rasa, laghu in
guna, sita in
veerya,
induces mada, cures trsna, atisara, pitta, asra, visha,
krmi and
visarpa.

धातकीकटुकाशीतातुवरामदकारिणी
तिक्तालघ्वीचसंप्रोक्तागर्भस्थापनकारिणी | |
रक्तप्रवाहिकापित्ततृडिवसर्पव्रणापहा
कृम्यतीसारहननीरक्तदोषरुजापहा
पुष्पमस्याःस्वादुरुक्षरक्तपित्तातिसारजित्
विषनाशकरंचोक्तंमुनिभिस्तत्त्वदर्शिभिः
(Nir)
Dhataki is katuka, tuvara
tikta in rasa, laghu in guna, sita in
veerya, induces mada, is garbha sthapaka,
cures rakta
pravahika, pitta, trd, visarpa, Vrana, krmi, atisara, rakta dosha
ruja
Its puspa is svadu in rasa, ruksa in guna, cures rakta pitta,
atisara and visa"
Dhava,धव,dhava,"https://www.medicinalplants.in/slokaimages/140/140_1.jpg
https://www.medicinalplants.in/slokaimages/140/140_2.jpg","धवः शीतः प्रमेहार्शः पाण्डुपित्तकफापहः
मधुरस्तुवरस्तस्य फलं तु मधुरं मनाक् II (Bpn)
Dhava is madhura, tuvara in rasa, sita in veerya
alleviates pitta, kapha and cures prameha, pandu
Its phala is madhura in rasa.

धवः कषायः कटुकः कफघ्नोडनिलनाशनः
पित्तप्रकोपनो रुच्यो विज्ञेयोः दीपनः परः II (Rin)
Dhava is kashaya, katu in rasa, alleviates vitiation of
kapha and anila, increases pitta, is rucya and highly
dipana in action."
Draksa,द्राक्षा,drākṣā,"https://www.medicinalplants.in/slokaimages/1718/1718_1.jpg
https://www.medicinalplants.in/slokaimages/1718/1718_2.jpg
https://www.medicinalplants.in/slokaimages/1718/1718_3.jpg
https://www.medicinalplants.in/slokaimages/1718/1718_4.jpg
https://www.medicinalplants.in/slokaimages/1718/1718_5.jpg
https://www.medicinalplants.in/slokaimages/1718/1718_6.jpg
https://www.medicinalplants.in/slokaimages/1718/1718_7.jpg
https://www.medicinalplants.in/slokaimages/1718/1718_8.jpg","द्राक्षा मधुफलसंज्ञा चारुफला कांक्षमालिका कृष्णा
काश्मीरी च रसाला तापसदयिता प्रियाला स्यात |l
स्वादुफला मधुयोनिः स्वादुपाकरसा
गोस्तनिका फलमुख्या गदिता कपितेति चौत्तरापथिका II (Aa ma)
Synonyms of Draksa are Madhu phala Caru phala, Kanksamalika
Krsna, Kasmiri Rasala, Tapasadayita, priyala, Mravika
Madhuyoni, Svadu pakarasa Gostanika, Phalamukhya, Kapita,
Utiarapathika.
मृद्वीका

द्राक्षा स्वादुफला प्रोक्ता तथा
मधुरसापि च |
हारहूरा च गोस्तनी चापि कीर्त्तिता Il (Bpn)
Draksa, Svadu phala
Madhu rasa, Mrdvika, |arahura, Gostani are
the synonyms of Draksa
मृद्वीका

द्राक्षा चारुफला कृष्ण प्रियाला तापसप्रिया
गुच्छफला रसाला च
ज्ञेयाडमृतफला च सा |l
अन्या कपिलद्राक्षा
गोस्तनी च कपिलफला
अमृतरसा दीर्घफला
मधुफला
च |l
हरिता च हारहूरा सुफला मृद्वी हिमोत्तरपथिका
हैमवती शतवीर्या काश्मीरो गजराजमहिगणिता |l
अन्या सा काकलीद्राक्षा जम्बुका च फलोत्तमा
लघुद्राक्षा
निर्बीजा सुवृता रुचिकारिणि Il (Rjn)
Draksa, Caru Phala, Krsna, Priyala, Tapasapriya, Gucchaphala
Rasala Amrtaphala are the synonyms of Draksa
Another variety
is Kapila draksha
Mrdvika
Gostani, Kapila phala Amria rasa
Dirgha phala, Madhu valli, Madhu phala, Madhuli Harita
Harahura, Suphala Mrdvi, Himottarapathika, Haimavati Satavirya
Kasmira Gajarajamahiganitha
Another variety is Kakali draksha
Jambuka, Phalottama, Laghu draksa, Nirbija, Suvrtta
Ruci karini.
मृद्वीका
मधुवल्ली
मधूली =

द्राक्षा फलोत्तमा वृष्या चक्षुष्या
सृष्टमूत्रविट्
स्वादुपाकरसा स्निग्धा सकषाया हिमा गुरुः
निहन्त्यनिलपित्तासृक्तिक्तास्यत्वमदात्ययान्
तृष्णाकासज्वरश्वासस्वरभेदक्षतक्षयान् Il (Mdn)
Draksa is svadu, kashaya in rasa snigdha, guru in guna hima in
veerya, svadu in paka, phala uttama, vrsya, caksushya, sresta
mutra vit, cures anila, pitta asrk, tikia asya madatyaya trsna,
kasa, jvara, svasa, svarabheda, ksata and ksaya.

द्राक्षा हृद्यरसा स्वर्या मधुरा स्निग्धशीतला
रक्तपित्तज्वरश्वासतृष्णादाहक्षयापहा |l
मधुरा स्निग्धा शीता
वृष्यानुलोमनी
रक्तानिलश्वासकासभ्रमस्तृष्णाज्वरापहा Il (Dhn)
Draksa is madhura in rasa, hrdya rasa, snigdha in guna, sitala in
veerya, svarya, cures rakta pitta jvara svasa, trsna
daha, ksaya.
Mrdvika is madhura in iasie snigdha in property sita in potency
vrsya anulomani, cures rakta, anila, svasa, kasa bhrama trsna
Jvara.
मृद्वीका

द्राक्षा फलोत्तमा वृष्या चक्षुष्या
सृष्टमूत्रविट्
स्वादुपाकरसा स्निग्धा सकषाया हिमा गुरुः
निह
न्त्यनिलपित्तासृक्तिक्तास्यत्वमदात्ययान्
तृष्णाकासज्वरश्वासस्वरभेदक्षतक्षयान् |l
आमा द्राक्षा सरा साम्ला पित्तश्लेष्मप्रकोपनी
(Sdn)
Draksa is phala uttama, svadu, kasaya in rasa, snighda, guru in
guna, hima in veerya, svadu in paka vrsya caksushya, srsia
mutra vit, cures anila, pitta asra tikia asya madatyaya, trsna
kasa, jvara,
svasa svarabheda
ksaia, kshaya.
Ama draksa is amla in rasa, sara in guna, induces vitiation of pitta
slesma.

द्राक्षा तु मधुरा स्निग्धा वृष्या शीतानुलोमनी
बल्या वृष्या क्षतक्षीणतृषावातस्रपित्तजित् Il (Rav)
Draksa is madhura, snigdha in property, sita in potency, vrsya,
anulomana, balya, vrsya cures ksata, ksina, trsa vata asra, pitta

तृष्णादाहज्वरश्वासरक्तपित्तक्षतक्षयान्
वातपित्तमुदावर्त्तं स्वरभेदं मदात्ययम् |l
तिक्तास्यतामास्यशोष कासं चाशु व्यपोहति
बृंहणी वृष्या मधुरा स्निग्धशीतला II (C.S.Su २७)
Draksa alleviates trsna, daha, jvara, svasa raktapitta, ksata
kshaya, vatapitta udavarta, svarabheda, madatyaya
tikia asya
sosa, kasa. Mrdvika is madhura in tasie, snigdha in property sitala
in potency, brmhani and vrsya
मृद्वीका"
Dronapuspi,द्रोणपुष्पी,droṇapuṣpī,,
Dugdhapheni,दुग्धफेनी,dugdhaphenī,"https://www.medicinalplants.in/slokaimages/1589/1589_1.jpg
https://www.medicinalplants.in/slokaimages/1589/1589_2.jpg
https://www.medicinalplants.in/slokaimages/1589/1589_3.jpg
https://www.medicinalplants.in/slokaimages/1589/1589_4.jpg","दुग्धिकोष्णा गुरू रूक्षा वातला गर्भकारिणी
स्वादिक्षीरा कटुस्तिक्ता सृष्टमूत्रमलापहा
१ |
स्वादुर्विष्टम्भिनी वृष्या कफकुष्ठकृमिप्रणुत्
(Bpn)
It is guru, ruksa in guna, slightly usna in veerya, increases vata
promotes garbhakarini (conception).
Svadu ksiri is svadu, katu, tikta in rasa, srsta mutra malapaha (promotes
waste eliminationl, vistambhi, vrshya and cures kapha, kustha and krmi.
and

शिशिरा विषनाशिनी |
वर्णापसारणी रुच्या युक्त्या चैव रसायनी | (Rjn)
Dugahapheni is katu, tikta
rasa, sita in
veerya, promotes
varna  is
ruchya, rasayyani
cures visa.
दुग्धफेनिः
कटुस्तिक्ता
and

दुग्धिकोष्णा गुरू रूक्षा वातला गर्भकारिणी
Il IMan)
Dugahika is guru, ruksa in guna, slightly usna in veerya, increases vata
and is
garbhakarini ( conception).

धातुवृद्धिकरी हृद्या चोष्णा पारदबन्धिनी |
मलस्तम्भकरी मेहकफकुष्ठकृमीन् हरेत्
T INir 
It is dhatuvrdahikara, hrdya,
usna in veerya, used for parada bandha
Iprocessing of mercury
induces mala stambha constipation likel
cures meha , kapha, kustha and krmi.
and"
Durva,दूर्वा,dūrvā,"https://www.medicinalplants.in/slokaimages/554/554_1.jpg
https://www.medicinalplants.in/slokaimages/554/554_2.jpg","दूर्वा शीता कषाया च रक्तपित्तकफापहा
अनुपत्रा कषाया च शीतला श्लेष्मवातला
दर्भेः शरोनलश्चैव त्तथा
समम
स्वादु तिक्त कषायणि पित्तश्लेष्महराणि च
I| IDhn
Darbha, sara, nala and durva are similar in properties They are kashaya
in rasa, sita in veerya, alleviates raktapitta and kapha
Anupatra is kashaya in
sitala in veerya, causes vitiation of slesma
ana vata.
Other varieties: darbha,
sara
and nala are the three varieties of durva,
which are similar in properties They are svadu, tikta and kashaya in rasa,
alleviates vitiation of pitta and slesma
दूर्वात्रयं
rasa ,

दूर्वासामान्यगुणाः
दूर्वाः कषायाः मधुराश्च शीताः पित्ततृषाउरोचकवान्तिहन्त्र्यः |
सदाहमूर्च्छाग्रहभूतशान्ति श्लेष्मश्रमध्वंसनतृप्तिदाश्च
Il (Rjn)
Durva is
kashaya, maahura
rasa, sita
veerya,
cures
pitta, trsha,
arocaka, vanti, daha, murccha,
bhuta, slesma, srama, trpti ana
dana
Braha"
Durva - prakara,दूर्वा प्रकार,dūrvā prakāra,"https://www.medicinalplants.in/slokaimages/554/554_1.jpg
https://www.medicinalplants.in/slokaimages/554/554_2.jpg","दूर्वा शीता कषाया च रक्तपित्तकफापहा
अनुपत्रा कषाया च शीतला श्लेष्मवातला
दर्भेः शरोनलश्चैव त्तथा
समम
स्वादु तिक्त कषायणि पित्तश्लेष्महराणि च
I| IDhn
Darbha, sara, nala and durva are similar in properties They are kashaya
in rasa, sita in veerya, alleviates raktapitta and kapha
Anupatra is kashaya in
sitala in veerya, causes vitiation of slesma
ana vata.
Other varieties: darbha,
sara
and nala are the three varieties of durva,
which are similar in properties They are svadu, tikta and kashaya in rasa,
alleviates vitiation of pitta and slesma
दूर्वात्रयं
rasa ,

दूर्वासामान्यगुणाः
दूर्वाः कषायाः मधुराश्च शीताः पित्ततृषाउरोचकवान्तिहन्त्र्यः |
सदाहमूर्च्छाग्रहभूतशान्ति श्लेष्मश्रमध्वंसनतृप्तिदाश्च
Il (Rjn)
Durva is
kashaya, maahura
rasa, sita
veerya,
cures
pitta, trsha,
arocaka, vanti, daha, murccha,
bhuta, slesma, srama, trpti ana
dana
Braha"
Ela,एला,elā,"https://www.medicinalplants.in/slokaimages/663/663_1.jpg
https://www.medicinalplants.in/slokaimages/663/663_2.jpg
https://www.medicinalplants.in/slokaimages/663/663_3.jpg
https://www.medicinalplants.in/slokaimages/663/663_4.jpg
https://www.medicinalplants.in/slokaimages/663/663_5.jpg
https://www.medicinalplants.in/slokaimages/663/663_6.jpg","शूक्ष्मैलामूत्रकृच्छ्रार्शः श्वासकासक्षये हिता
(Soaala )
Suksmela is effective in mutrakrcchra, arsa
svasa, kasa ana
ksava.

एला सूक्ष्मा
कफश्वासकासर्शोमूत्रकृच्छ्रहृत्
रसे तु कटुका शीता लघ्वी वातहरा मता
I| (Bpn)
Suksma ela is katu in rasa, laghu in guna, sita in veerya, alleviates vata,
cures kapha, svasa , kasa,
arsa, mutra krcchra.

स्थूलैला रक्तपित्तघ्नी वमिशुक्राश्मजिद् हिमा |
तृष्णाहृल्लासकण्डूघ्नी पित्तश्लेष्मामयापहा
 (Mdn)
Sthulaela
is hima in veerya, alleviates raktapitta, vami, sukra,
asma,
trsna, hrllasa, kanau, pitta, slesma and amaya.

स्थूलैला कटुका पाके रसे चानलकृल्लघुः
रूक्षोष्णा
श्लेष्मपित्तास्रकण्डूश्वासतृषापहा
हृल्लासविषबस्त्त्यास्यशिरोरुग्वमिकासनुत्
(Bpn)
Sthulaila is katuka in paka and rasa, laghu, ruksa in guna, usna in veerya,
anala karaka, cures slesma, pitta, asra, kanau, svasa, trsa, hrilasa, visa,
basti-asya siro ruk, vami ana kasa.

स्थूलैला रोचनी तीक्ष्णा लघुष्णा कफवातजित्|
सुगन्धिः पाचका शीता चाग्निदीप्तिकरा मता
I| IMdn)
Sthulaela is tiksna, laghu
in  हuna,
usna in veerya
rocani,
suganahi,
pacaka , sita,
dipta kari, alleviates kapha and vata.
agni

शीतलतिक्तमुक्तं सुगन्धिपित्तार्तिकफापहारि
करोति हृद्रोगमलार्तिबरितपुंस्त्वघ्नमत्र स्थविरा गुणाढ्या| |
IRjn|
Elaavaya is tikta in rasa, sitala in veerya, suganahi, alleviates vitiation of
pitta, kapha, cures arti, hrdroga, mala arti and it is pumsatvaghna.
एलाद्वयं"
Ela - suksma,एला सूक्ष्म,elā sūkṣma,"https://www.medicinalplants.in/slokaimages/663/663_1.jpg
https://www.medicinalplants.in/slokaimages/663/663_2.jpg
https://www.medicinalplants.in/slokaimages/663/663_3.jpg
https://www.medicinalplants.in/slokaimages/663/663_4.jpg
https://www.medicinalplants.in/slokaimages/663/663_5.jpg
https://www.medicinalplants.in/slokaimages/663/663_6.jpg","शूक्ष्मैलामूत्रकृच्छ्रार्शः श्वासकासक्षये हिता
(Soaala )
Suksmela is effective in mutrakrcchra, arsa
svasa, kasa ana
ksava.

एला सूक्ष्मा
कफश्वासकासर्शोमूत्रकृच्छ्रहृत्
रसे तु कटुका शीता लघ्वी वातहरा मता
I| (Bpn)
Suksma ela is katu in rasa, laghu in guna, sita in veerya, alleviates vata,
cures kapha, svasa , kasa,
arsa, mutra krcchra.

स्थूलैला रक्तपित्तघ्नी वमिशुक्राश्मजिद् हिमा |
तृष्णाहृल्लासकण्डूघ्नी पित्तश्लेष्मामयापहा
 (Mdn)
Sthulaela
is hima in veerya, alleviates raktapitta, vami, sukra,
asma,
trsna, hrllasa, kanau, pitta, slesma and amaya.

स्थूलैला कटुका पाके रसे चानलकृल्लघुः
रूक्षोष्णा
श्लेष्मपित्तास्रकण्डूश्वासतृषापहा
हृल्लासविषबस्त्त्यास्यशिरोरुग्वमिकासनुत्
(Bpn)
Sthulaila is katuka in paka and rasa, laghu, ruksa in guna, usna in veerya,
anala karaka, cures slesma, pitta, asra, kanau, svasa, trsa, hrilasa, visa,
basti-asya siro ruk, vami ana kasa.

स्थूलैला रोचनी तीक्ष्णा लघुष्णा कफवातजित्|
सुगन्धिः पाचका शीता चाग्निदीप्तिकरा मता
I| IMdn)
Sthulaela is tiksna, laghu
in  हuna,
usna in veerya
rocani,
suganahi,
pacaka , sita,
dipta kari, alleviates kapha and vata.
agni

शीतलतिक्तमुक्तं सुगन्धिपित्तार्तिकफापहारि
करोति हृद्रोगमलार्तिबरितपुंस्त्वघ्नमत्र स्थविरा गुणाढ्या| |
IRjn|
Elaavaya is tikta in rasa, sitala in veerya, suganahi, alleviates vitiation of
pitta, kapha, cures arti, hrdroga, mala arti and it is pumsatvaghna.
एलाद्वयं"
Eranda,एरण्ड,eraṇḍa,"https://www.medicinalplants.in/slokaimages/1399/1399_1.jpg
https://www.medicinalplants.in/slokaimages/1399/1399_2.jpg
https://www.medicinalplants.in/slokaimages/1399/1399_3.jpg
https://www.medicinalplants.in/slokaimages/1399/1399_4.jpg
https://www.medicinalplants.in/slokaimages/1399/1399_5.jpg
https://www.medicinalplants.in/slokaimages/1399/1399_6.jpg
https://www.medicinalplants.in/slokaimages/1399/1399_7.jpg","पञ्चाङ्गुलः स्यादेरण्डः शुक्लश्च तिलकूपकः
आमुण्डको वर्धमानश्चित्रो गन्धर्वहस्तकः Il
दीर्घदण्डो ग्रामजश्च मुनिश्च त्रिपुटीफलः
रक्तैरण्डो महामुण्डो महापञ्चाङ्गुलः पृथुः II
हस्तिकर्णी चोरुबूक उरुपुर्गजकर्णकः E
शिखापत्रः सिरापत्रो महापत्रश्च कथ्यते Il
व्याघ्रो व्याघ्रदलश्चेति शब्दैः पर्यायवाचकैः
(Aa. mal
Eranaa is also named as pancangula.
Synonyms are sukla, tilakupaka, amundaka, vardhamanaha, citra,
gandharvahastaka, dirghadanda, gramaja, muni, triputiphala, rakta
eranda, mahamunda, mahapanchangula, hastikarni, urubuka, urupurgaja
karnaka , sikhapatra, sirapatra, mahapatra, vaghra, vyaghradala.

शुक्ल एरण्ड आमण्डश्चित्रो गन्धर्वहस्तकः
पञ्चाङ्गुलो वर्धमानो दीर्घदण्डो व्यडम्बकः II
रक्तोडपरोरुबूकः स्यादुरुबूको रुबुस्तथा
व्याघ्रपुच्छश्च वातारिश्चञ्चुरुत्तानपत्रकः Il (Bpn)
Synonyms of sukla eranda are amanaa, citra, gandharvahstaka,
panchangula, vardhamana, dirgha danda, vyadambaka.
Rakta varietyiurubuka, uroonbuka, rubuhu, vyaghrapuccha, vatari,
canchu, uttanapatraka.

श्वेतैरण्डः सितैरण्डश्चित्रो गन्धर्वहस्तकः
आमण्डस्तरुणः
वातारिर्दीर्घदण्डकः Il
पञ्चाङ्गुलो वर्धमानो
द्वादशाह्वयः
रक्तैरण्डोउपरो व्याघ्रा हस्तिकर्णी रुबस्तथा II
उरुबुको नागकर्णश्चञ्चुत्तानपत्रकः
करपर्णो याचनकः स्निग्धो च्याघ्रदलस्तथा Il
तत्करश्चित्रबीजश्च ह्रस्चैरण्डस्त्रिपञ्चधा
IRjn)
Sveta eranda, sita eranda, citra, gandharvahastaka, amandaha, tarunaha,
sukla , vatari, dirghadanaaka, pancangula, vardhamana, rubuka are the1२
synonyms for sveta eranda
Rakta eranda, vyaghra, hastikarni, rubuhu, urubuka, nagakarna, canchu,
uttanapatraka, karaparna, yacanaka, snighda, vyaghradala, tatkara,
citrabija, hrasva eranaa are the synonyms for rakta eranda
शुक्लो
रुबुको

एरण्डौ द्वौ वातहरौ शूलोदावर्तनाशनौ
वातरक्तहरौ सर्व एरण्डो मार्गशोधनः |l (Mdn)
Both the types of eranda alleviate vata
cures vatarakta, sula, udavarta
Both are beneficial for marga Sodhana (waste elimination or laxationl

एरण्डस्तु रसे तिक्तः स्वादूष्णोडनिलनाशनः
उदावर्तं प्लीहागुल्मवस्तिशूलान्त्रवृद्धिनुत्
गुरुर्वातप्रशमनो विकारान् शोणितान् जयेत्
फलं स्वादु च सक्षारं
भेदि वातजित |l
एरण्डयुगलं वृष्यं स्वादु पित्तसमीरजित्
IDhn|
Eranaa is tikta, svadu in rasa, usna in veerya, alleviates anila, pacifies
udavarta , pliha, gulma, vasti sula, antra vrddhi, guru vata, sonita Vikara
Phala is svadu in rasa, laghu in guna
usna in veerya, ksara, bhedi, vata
hara. Both the types of eranaa are svadu in rasa
vrsya, pitta samira
hara
लघुष्णं

सकटुकरसस्तिक्त
उष्णः कफार्त्ति-
ध्वंसं धत्ते ज्वरहरमरुत्कासहरी रसाईः
रक्तैरण्डः श्वयथुपचनः वान्तिरक्तार्त्तिपाण्डु 
भ्रान्तिश्वासज्वरकफहरोडरोचकघ्नो लघूश्च Il (Rjn)
Sveta eranda is katu, tikta in rasa, usna in veerya, pacifies kaphaja
vyadhi, jvara, marut vikara, kasa, rasarha.
Rakta eranda is laghu in guna, svayathu pacana
cures vanti, rakta arti,
pandu, bhranti, svasa, jvara, kapha, arocaka
श्वेतैरण्डः

सतिक्तोष्णमेरण्डं तैलं स्वादु सरं गुरु
वर्ध्मगुल्मानिलकफानुदरं विषमज्वरम् |l
रुक्शोफौ च कटीगुह्यकोष्ठपृष्ठाश्रयौ जयेत् |
तीक्ष्णोष्णं पिच्छिलं विस्रं रक्तैरण्डोद्भवं त्वति I (A.Hr. )
Eranda taila is tikta, svadu in rasa,
usna in veerya, sara, Buru in guna,
cures
varahma, gulma , anila, kapha, udara, visama jvara, ruk, sopha, kati
guhya kostha prstha.
Rakta eranda is tiksna , picchila in guna
usna in veerya and visra."
Erandakarkati,एरण्डकर्कटी,eraṇḍakarkaṭī,https://www.medicinalplants.in/slokaimages/331/331_1.jpg,"एरण्डचिर्भटा स्वाद्वी तथा कोषफला स्मृता
अपक्चा
हरिता पीतफला स्वादुफला प्रिया|
सचिक्कणा श्यामबीजा तथा कुम्भपला शुभा
कासश्वासयकृत्लीहोदररोगविनाशिनी| |
मन्दाग्निस्नायुशोथच्नी विषपत्रा प्रकीर्तिता
वनौषधिशास्त्र संदिग्धनिर्णय
Eranda cirbhata, svadvi, kosha phala, harita, pita
phala, svadu phala, apakva,
cikkana
syama bija,
kumbha phala are the synonyms
It alleviates kasa, svasa,
pliha udara roga,
mandagni, snayu and sotha
Patra is visha.
yakrt"
