letter,page,drug_name,sanskrit_name,transliteration,ref_drug_name,botanical_correlation,status,discussion,reference
A,1,Abhababulaka,आभाबब्बूलक,ābhābabbūlaka,आभाबब्बूलक,Acacia arabica,Suggested Source,"In Kaideva and Sodala nighantu, 'Abhababulaka' is described seperately after 'Babbula'; 'Abhababulaka' is described under Laksmana varga where as 'Babbula' is described under 'Amradi varga'; But Bapalal Vaidya has correlated this to Acacia arabica which is 'Babbula'; According to the author this may be a type of 'Babbula'",[5]
A,1,Abhababulaka,आभाबब्बूलक,ābhābabbūlaka,आभाबब्बूलक,Acacia sp.,Accepted source,"In Kaideva and Sodala nighantu, 'Abhababulaka' is described seperately after 'Babbula'; 'Abhababulaka' is described under Laksmana varga where as 'Babbula' is described under Amradi varga; According to the author this may be a type of 'Babbula' and hence identified with this species",[5]
A,1,Abhirupatri,अभीरुपत्री,abhīrupatrī,अभीरुपत्री,Asparagus Sp.,Most probable,Abhiru' has been mentioned just once in Caraka samhita; It is a synonym of 'Satavari' or is a plant that resembles 'Satavari' and hence most probably correlated to this species,[5]
A,1,Abhisuka,अभिषुक,abhiṣuka,अभिषुक,Pistacia vera Linn.,Accepted source,Imported,[1]
A,1,Abhisuka,अभिषुक,abhiṣuka,अभिषुक,Pistacia vera Linn.,Accepted source,Identified with this species,[4]
A,1,Abhisuka,अभिषुक,abhiṣuka,अभिषुक,Pistacia vera Linn.,Most probable,"Abhisuka is mentioned along with fruits like 'Vatama', 'Aksoda' etc which are dry and unctuous in nature; Some of them identify 'Pista' with 'Abhisuka' and even the author agrees with it and identifies 'Abhisuka' with this species",[5]
A,1,Adari,आदारी,ādārī,आदारी,Acacia pennata Willd.,Most probable,"Susruta in his description has mentioned this as a vella (creeper); In Abhidanaratnamala, 'Khadiravalli' has been given as its synonym; According to the author it is this species which the adivasis refer as 'Arar' which has origined from 'Adari'. A.pennata is a creeper and has features similar to the ones described in the text and hence can be taken into consideration",[5]
A,1,Adarisimbi,आदारिशिम्बी,ādāriśimbī,आदारिशिम्बी,Cassia auriculata Linn.,Most probable,With regard to its morphological features it is most probably identified with this species,[1]
A,1,Adhahpuspi,अधःपुष्पी,adhaḥpuṣpī,अधःपुष्पी,Trichodesma indicum R. Br.,Accepted source,Identified with it,[3]
A,1,Adhaki,आढकी,āḍhakī,आढकी,Cajanus cajan (Linn.) Millsp.,Accepted source,Identified with it,[1]
A,1,Adhaki,आढकी,āḍhakī,आढकी,Cajanus cajan (Linn.) Millsp.,Accepted source,Identified with it,[4]
A,1,Adhaki - prakara,आढकी प्रकार,āḍhakī prakāra,आढकी प्रकार,Cajanus cajan (Linn.) Millsp. var. bicolor DC.,Accepted source,Variety of adhaki is identified with this species,[4]
A,1,Adhaki - prakara,आढकी प्रकार,āḍhakī prakāra,आढकी प्रकार,Cajanus cajan (Linn.) Millsp. var. flavus DC.,Accepted source,Variety of adhaki is identified with this species,[4]
A,1,Adhoguda,अधोगुडा,adhoguḍā,अधोगुडा,Argyria petaloides,Controversial,"With regard to the commentary given in Caraka, Adhoguda is identified as Vrddhadaraka which is correlated to this species but this species does not tally with the properties of Adhoguda",[2]
A,1,Adhoguda,अधोगुडा,adhoguḍā,अधोगुडा,Euphorbia acaulis Roxb.,Accepted source,In the texts it has been mentioned among the purgative drugs; Has been cited just once in Caraka samhita; Guda is a synonym of Snuhi so the literal meaning of Adhoguda is 'Snuhi that grows underground'; It is identified with this species,[5]
A,1,Adhoguda,अधोगुडा,adhoguḍā,अधोगुडा,Euphorbia acaulis Roxb.,Most probable,May be a variety of snuhi,[1]
A,1,Adhoguda,अधोगुडा,adhoguḍā,अधोगुडा,Euphorbia nivulia,Accepted source,Guda is the synonym of Snuhi which is correlated to this species,[2]
A,1,Adityavalli,आदित्यवल्ली,ādityavallī,आदित्यवल्ली,Helianthus annuus Linn.,Controversial,Commentators have usually identified Adityavalli with this species,[1]
A,1,Agaru,अगरु,agaru,अगरु,Aquilaria agallocha Roxb.,Accepted source,Identified with it,[1]
A,1,Agaru,अगरु,agaru,अगरु,Aquilaria agallocha Roxb.,Accepted source,Agaru is identified with this species,[5]
A,1,Agastya,अगस्त्य,agastya,अगस्त्य,Sesbania grandiflora (Linn.) Pers.,Accepted source,Identified with it,[1]
A,1,Agastya,अगस्त्य,agastya,अगस्त्य,Sesbania grandiflora Pers.,Accepted source,Identified with it,[3]
A,1,Agnidamani,अग्निदमनी,agnidamanī,अग्निदमनी,Artemisia indica.,Suggested source,Nighantu sangraha has correlated Agnidamani to Artemisia indica but its morphology doesn’t tally with this species; It needs to be avoided,[2]
A,1,Agnidamani,अग्निदमनी,agnidamanī,अग्निदमनी,Solanum dulcamara Linn.,Suggested source,Agnidamani' has been mentioned in Rajanighantu; With regard to its synonym 'Vallikantakarika' it seems to be 'Kantakari' of the creeper variety; This species is suggested to be used as 'Agnidamani' as it has similar uses when compared to the one mentioned in the texts,[5]
A,1,Agnidamani,अग्निदमनी,agnidamanī,अग्निदमनी,Solanum trilobatum,Accepted source,Agnidamani is correlated to this species,[2]
A,1,Agnidamani,अग्निदमनी,agnidamanī,अग्निदमनी,Solanum trilobatum Linn.,Accepted source,Agnidamani' has been mentioned in Rajanighantu; With regard to its synonym 'Vallikantakarika' it seems to be 'Kantakari' of the creeper variety; It is identified with this species according to Vaidya Bapalal ji,[5]
A,1,Agnimantha,अग्निमन्थ,Agnimantha,अग्निमन्थ,Clerodendron phlomoids & Premna integrifolia,Accepted source,Agnimantha is correlated to this species,[2]
A,1,Agnimantha,अग्निमन्थ,Agnimantha,अग्निमन्थ,Clerodendrum phlomidis Linn. f.,Suggested source 2,Two accepted names given on basis of 2 types of Agnimantha viz.Vrhat and Ksudra,[1]
A,1,Agnimantha,अग्निमन्थ,Agnimantha,अग्निमन्थ,Premna integrifolia Linn.,Accepted source,Agnimantha is identified with this species,[5]
A,1,Agnimantha,अग्निमन्थ,Agnimantha,अग्निमन्थ,Premna latifolia Roxb. var. mucronata Clarke,Suggested source 1,Two accepted names given on basis of 2 types of Agnimantha viz.Vrhat and Ksudra,[1]
A,1,Agnimantha,अग्निमन्थ,Agnimantha,अग्निमन्थ,Premna latifolia Var. mucronata Clarke.,Accepted source,Agnimantha is identified with this species,[5]
A,1,Agnimantha,अग्निमन्थ,Agnimantha,अग्निमन्थ,Premna mucronata Roxb.,Accepted source,Agnimantha is identified with this species,[3]
A,1,Agnimantha - aksura,अग्निमन्थ अक्षुर,agnimantha akṣura,अग्निमन्थ अक्षुर,Clerodendrum sp.,Accepted source,This is considered as another variety of Vrhat Agnimantha (without thorns),[1]
A,1,Agnimantha - laghu,अग्निमन्थ लघु,agnimantha laghu,अग्निमन्थ लघु,Clerodendron phlomidis,Accepted source,Agnimantha is correlated to this species,[2]
A,1,Agnimantha - vrddha,अग्निमन्थ वॄद्ध,agnimantha vṝddha,अग्निमन्थ वॄद्ध,Premna integrifolia,Accepted source,Agnimantha is correlated to this species,[2]
A,1,Agnimanthfa - ksura,अग्निमन्थ क्षुर,agnimantha kṣura,अग्निमन्थ क्षुर,Premna sp.,Accepted source,This is considered as another variety of Ksudra Agnimantha (without thorns),[1]
A,1,Aguru,अगुरु,aguru,अगुरु,Aquilaria agallocha Roxb.,Accepted source,Aguru is identified with this species,[3]
A,1,Ahiphena,अहिफेन,ahiphena,अहिफेन,Papaver somnifrum Linn.,Accepted source,Ahiphena is identified with this species,[3]
A,2,Ahulya,आहुल्य,āhulya,आहुल्य,Cassia auriculata Linn.,Accepted source,Mentioned in Raja nighantu; Its identified as 'Avartaki' which is correlated to this species,[5]
A,2,Aindri,ऐन्द्री,aindrī,ऐन्द्री,Bacopa monnieri (Linn.) Pennell.,Accepted source,Aindri is identified with this species,[3]
A,2,Aindri,ऐन्द्री,aindrī,ऐन्द्री,Bacopa monnieri (Linn.) Pennell.,Accepted source,Aindri is identified with this species,[5]
A,2,Aindri,ऐन्द्री,aindrī,ऐन्द्री,Podophyllum hexandra Royle,Controversial,It needs to be examined,[1]
A,2,Airavata,ऐरावत,airāvata,ऐरावत,Citrus sp.,Controversial,Possibility of it being correlated to Airavata,[1]
A,2,Airavata,ऐरावत,airāvata,ऐरावत,Grewia sp.,Controversial,In Susruta it has been identified as Grewia species,[1]
A,2,Airavati,ऐरावती,airāvatī,ऐरावती,Acacia pennata Willd.,Accepted source,"In Kaideva nighantu, 'Airavata' has been mentioned as a variety of Khadira with 'Vallikhadira' and 'Khadiravalli' as its synonyms which portrays this as a creeper; 'Vallikhadira' is identified with this species",[5]
A,2,Aja,अजा,ajā,अजा,Saussurea gossipifolia Don.,Controversial,Needs to be studied,[1]
A,2,Aja,अजा,ajā,अजा,Saussuria gossypifolia Don.,Most probable,It has been mentioned under the divine drugs. With regard to its description it is one of the types of Saussurea species which is found near the Himalayas and popularly known as 'Kamala'. Most probably it is identified with this species,[5]
A,2,Ajagandha,अजगन्धा,ajagandhā,अजगन्धा,Elsholtzia cristata Willd.,Controversial,Its vernacular names point towards it as a correlation,[1]
A,2,Ajagandha,अजगन्धा,ajagandhā,अजगन्धा,Gynandropis pentaphylla,Accepted source,Bhavamisra had identified Ajagandha with Suvarcala which is correlated to this species,[2]
A,2,Ajagandha,अजगन्धा,ajagandhā,अजगन्धा,Gynandropis pentaphylla,Most probable,Tilaparni and Ajagandha are synonymous to each other but Tilaparni means ( leaves like sesamum) so there is no similarity with the morphology of the species; but Tilaparni was understood as Hulhula and correlated to this species,[2]
A,2,Ajagandha,अजगन्धा,ajagandhā,अजगन्धा,Gynandropsis gynandra (Linn.) Briquet.,Accepted source,It has been identified as Ajagandha but its vernacular names point towards 2 more plants,[1]
A,2,Ajagandha,अजगन्धा,ajagandhā,अजगन्धा,Ocimum basilicum Linn.,Controversial,Its vernacular names point towards it as a correlation,[1]
A,2,Ajagandha,अजगन्धा,ajagandhā,अजगन्धा,Thymus serpyllum Linn.,Most probable,"With referance to the ancient texts it can be concluded that 'Ajagandha' is different from drugs like 'Ajamoda', 'Yavani', 'Satahva' etc and it seems to be 'Vanayavani' which is most probably identified with this species; With regard to the property of this species it has similar properties like 'Ajagandha' with an exception that it is not a purgative",[5]
A,2,Ajagandha - pita,अजगन्धा पीत,ajagandhā pīta,अजगन्धा पीत,Cleome viscosa,Accepted source,Ajagandha is identified with this species,[2]
A,2,Ajagandha - sveta,अजगन्धा श्वेत,ajagandhā śveta,अजगन्धा श्वेत,Gynandropis Gynantra,Accepted source,White variety of Ajagandha is correlated to this species,[2]
A,2,Ajagari,अजगरी,ajagarī,अजगरी,Arisaema Sp.,Most probable,Ajagari' is mentioned in Susruta as a divya aushadhi (divine drug) and most probably correlated to this species,[5]
A,2,Ajakarna,अजकर्ण,ajakarṇa,अजकर्ण,Dipterocarpus sp.,Accepted source,Ajakarna is identified with this species,[1]
A,2,Ajakarna,अजकर्ण,ajakarṇa,अजकर्ण,Dipterocarpus turbinatus Gaertn.f.,Accepted source,Identified with it,[1]
A,2,Ajalomi,अजलोमी,ajalomī,अजलोमी,Not identified,Not Identified,It is considered as the alternative source for Ajalomi and Golomi. In practice 2 varieties of durva are being used in its place. Probably an aromatic herb,[1]
A,2,Ajamoda,अजमोद,ajamoda,अजमोद,Apium graveolens Linn.,Accepted source,Identified with it,[1]
A,2,Ajamoda,अजमोद,ajamoda,अजमोद,Carum Roxburghianum (DC) Craib.,Accepted source,It is identified with this species,[3]
A,2,Ajamoda,अजमोद,ajamoda,अजमोद,T. stictocarpum (C.B. Clake) Wolff.,Most probable,This species resembles Ajamoda except for its fruits which have more margins on them and are excessively hairy. This is most probably its cultivated variety,[3]
A,2,Ajaruha,अजरुहा,ajaruhā,अजरुहा,Nephrodium sp.,Suggested source,Needs to be examined,[1]
A,2,Ajasrngi,अजश्रॄङ्गी,ajaśrṝṅgī,अजश्रॄङ्गी,Gymnema sylvestre R. Br.,Accepted source,Identified with this species,[5]
A,2,Akarakarabha,आकारकरभ,ākārakarabha,आकारकरभ,Anacyclus pyrethrum DC.,Accepted source,Akarakarabha is identified with this species,[3]
A,2,Akasavalli,आकाशवल्ली,ākāśavallī,आकाशवल्ली,Cassytha filiformis Linn.,Most probable,Akasavalli is identified with this species,[3]
A,2,Akasavalli,आकाशवल्ली,ākāśavallī,आकाशवल्ली,Cuscuta reflexa Roxb.,Most probable,This species is widely known as Akasavalli  Morphological features are similar except that it is laxative,[3]
A,2,Akasavalli - prajati,आकाशवल्ली प्रजाति,ākāśavallī prajāti,आकाशवल्ली प्रजाति,Cuscuta chinensis Lam.,Most probable,This species is a variety of Cuscuta reflexa andhas similar properties so most probably can be identified with Akasavalli,[3]
A,2,Akhukarni,आखुकर्णी,ākhukarṇī,आखुकर्णी,Evolvulus nummularius Linn.,Suggested source,There are many species correlated to Akhukarni. This specieis identified with Akhukarni but it is imported to India,[3]
A,2,Akhukarni,आखुकर्णी,ākhukarṇī,आखुकर्णी,Merremia emarginata (Burm.f.) Hallier f.,Accepted source,It is identified with this species,[3]
A,2,Akhuparnika,आखुपर्णिका,ākhuparṇikā,आखुपर्णिका,Evolvulus nummularis Linn.,Suggested source,Akhuparnika presently is identified with this species but it needs to be studied as its not a native of our country and its features are not equivalent with the ones given in Caraka samhita,[5]
A,2,Akhuparnika,आखुपर्णिका,ākhuparṇikā,आखुपर्णिका,Merremia emarginata (Burm.f.) Hallier.f.,Suggested source,Akhuparnika presently is identified with this species but it needs to be studied as its not a native of our country and its features are not equivalent with the ones given in Caraka samhita,[5]
A,2,Aksapida,अक्षपीड,akṣapīḍa,अक्षपीड,"Ctenolepis cerasiformis, Naud",Controversial,On basis of a local name in Gujarat it is correlated to the following plant,[1]
A,2,Aksapida,अक्षपीड,akṣapīḍa,अक्षपीड,Phaseolus lunatus Linn.,Controversial,With referance to its uses it is correlated to different plant names so the correlations remain unspecified,[1]
A,3,Aksapidaka,अक्षपीडक,akṣapīḍaka,अक्षपीडक,Phaseolus lunatus Linn.,Most probable,"Aksipidaka' has been cited in Caraka under the Visa cikitsa (treatment for poisons); Susruta has mentioned its use in case of kustha (skin disorders); Gangadhar has inferred the word 'Aksipida' as, whose juice can be expressed and put in the eyes in case of eye disorders; But in the samhitas its nowhere been mentioned in case of eye diseases; Cakrapani has interpreted it as 'Simbi bheda' (variety of Simbi) which most probably is taken as 'Jehermaar'; It is correlated to this species",[5]
A,3,Aksikiphala,आक्षिकीफल,ākṣikīphala,आक्षिकीफल,Alangium begonifolium Harm.,Suggested source,"Based on popular names this species is suggested, which has to be examined",[1]
A,3,Aksikiphala,आक्षिकीफल,ākṣikīphala,आक्षिकीफल,Alangium begonifolium Harms.,Suggested source,"Based on popular names this species is suggested, which has to be examined",[5]
A,3,Aksikiphala,आक्षिकीफल,ākṣikīphala,आक्षिकीफल,Dillenia pentagyna Roxb.   .,Suggested source,In Assam it is known as ‘Akshi’ and hence identified with it,[5]
A,3,Aksikiphala,आक्षिकीफल,ākṣikīphala,आक्षिकीफल,Euphoria longan Steud.     .,Suggested source,In Bengal this species is known as ‘Aashphala’ and in Assamas ‘Naagalichi’.With regard to homophony  this species is taken into consideration,[5]
A,3,Aksikiphala,आक्षिकीफल,ākṣikīphala,आक्षिकीफल,Morinda coreia Buch-Ham.,Suggested source,In the book Rasaratnasamucchaya there is a mention of ‘Aksi’ in the Rakta varga which is most probably identified with this species,[5]
A,3,Aksikiphala,आक्षिकीफल,ākṣikīphala,आक्षिकीफल,Morinda tinctoria Roxb.,Suggested source,"Based on popular names this species is suggested, which has to be examined",[1]
A,3,Aksipidaka,अक्षिपीडक,akṣipīḍaka,अक्षिपीडक,Ctenilepis cerasiformis Naud.,Most probable,"Caraka has mentioned this as a drug used in Visa cikitsa (in cases of poison); Susruta has cited this as a drug used in Kustha (skin related disorders); Gangadhar states it as a drug used in eye diseases with regard to its name 'Aksipidaka' but in the Samhitas it is not mentioned as a drug used in eye diseases; With regard to this, people in Gujarat consider the widely known 'Aankhphootani' as 'Aksipidaka' as it has similar properties mentioned by Gangadhar and hence correlated to this species",[5]
A,3,Aksiva,अक्षीव,akṣīva,अक्षीव,Moringa oleifera Lam.,Accepted source,"Madhusigru was a very controversial drug in ancient times as it was interpreted with different names like 'Sigru', 'Mahanimba', 'Vasira' etc; Cakrapani interpreted it with 'Musta' or 'Sobhanjana' where as Dalhana has interpreted it with 'Mahanimba' or 'Sobhanjana'; With regard to the referance 'Sigruni' in Caraka meaning seeds of Sigru the author has considered the same and identified  'Aksiva' with this species",[5]
A,3,Aksota,अक्षोट,akṣoṭa,अक्षोट,Juglans regia Linn.,Accepted source,Identified with it,[1]
A,3,Aksota,अक्षोट,akṣoṭa,अक्षोट,Juglans regia Linn.,Accepted source,Identified with it,[4]
A,3,Alambusa,अलम्बुषा,alambuṣā,अलम्बुषा,Biophytum sensitivum (Linn.) DC.,Controversial,It has to be identified correctly but some correlate it to this species itself,[1]
A,3,Alambusa,अलम्बुषा,alambuṣā,अलम्बुषा,Sphaeranthus indicus Linn.,Accepted source,Alambusa is correlated to this species,[2]
A,3,Alarka,अलर्क,alarka,अलर्क,Calotropis gigantea (Linn.) R.Br.ex Ait.,Most probable,Usually correlated to the bigger and white flowered variety of this plant,[1]
A,3,Alasandra,अलसान्द्र,alasāndra,अलसान्द्र,Vigna cylindrica Skeels,Accepted source,Identified with it,[1]
A,3,Alavu,अलावु,alāvu,अलावु,Lagenaria siceraria (Mol.) Standl.,Accepted source,Identified with it,[4]
A,3,Alavu,अलावु,alāvu,अलावु,Lagenaria siceraria Standl.,Accepted source,Identified with it,[1]
A,3,Aluka,आलुक,āluka,आलुक,Dioscorea sp.,Accepted source,The root tubers and bulbils of its varoius species are used as food articles by the tribal people,[1]
A,3,Aluka,आलुक,āluka,आलुक,Solanum tuberosum Linn.,Accepted source,Identified with this species,[4]
A,3,Aluka - bheda,आलुक भेद,āluka bheda,आलुक भेद,Dioscorea alata Linn.,Accepted source,Identified with this species,[5]
A,3,Aluka - bheda,आलुक भेद,āluka bheda,आलुक भेद,Dioscorea bulbifera Linn.,Most probable,Its most probably identified with regard to its morphology,[5]
A,3,Aluka - bheda,आलुक भेद,āluka bheda,आलुक भेद,Dioscorea deltoidea Wall.,Accepted source,Identified with this species,[5]
A,3,Aluka - bheda,आलुक भेद,āluka bheda,आलुक भेद,Dioscorea esculanta Burkill.,Accepted source,Identified with this species,[5]
A,3,Aluka - bheda,आलुक भेद,āluka bheda,आलुक भेद,Dioscorea glabra Roxb.,Most probable,Its most probably identified with regard to its morphology,[5]
A,3,Aluka - bheda,आलुक भेद,āluka bheda,आलुक भेद,Dioscorea hispida Dennst.,Most probable,Its most probably identified with regard to its morphology,[5]
A,3,Aluka - bheda,आलुक भेद,āluka bheda,आलुक भेद,Dioscorea species.,Accepted source,Identified with this species,[5]
A,3,Aluki,आलुकी,ālukī,आलुकी,Colocasia esculenta (Linn.) Schott.,Accepted source,Identified with it,[4]
A,3,Amala,अमल,amla,अमल,Emblica officinalis Gaertn.,Accepted source,Identified with it,[1]
A,3,Amala,अमल,amla,आमलक,Emblica officinalis Gaertn.,Accepted source,Identified with it,[4]
A,3,Amala,अमल,amla,आमलकी,Emblica officinalis Gaertn.,Accepted source,Identified with it,[3]
A,3,Amalaka,आमलक,āmalaka,अमल,Emblica officinalis Gaertn.,Accepted source,Identified with it,[1]
A,3,Amalaka,आमलक,āmalaka,आमलक,Emblica officinalis Gaertn.,Accepted source,Identified with it,[4]
A,3,Amalaka,आमलक,āmalaka,आमलकी,Emblica officinalis Gaertn.,Accepted source,Identified with it,[3]
A,3,Amalaki,आमलकी,āmalakī,अमल,Emblica officinalis Gaertn.,Accepted source,Identified with it,[1]
A,3,Amalaki,आमलकी,āmalakī,आमलक,Emblica officinalis Gaertn.,Accepted source,Identified with it,[4]
A,3,Amalaki,आमलकी,āmalakī,आमलकी,Emblica officinalis Gaertn.,Accepted source,Identified with it,[3]
A,3,Amaravela,अमरवेल,amaravela,अमरवेल,Cascuta reflexa Roxle.,Accepted source,Amaravela is not mentioned in the Brhatrayis; It is identified with this species,[2]
A,3,Amaravela,अमरवेल,amaravela,अमरवेल,Cassyatha filiformis Linn.,Accepted source,Amaravela is not mentioned in the Brhatrayis; It is identified with this species,[2]
A,3,Amaruda,आमरुद,āmaruda,आमरुद,Psidium guajava Linn.,Accepted source,Identified with this species,[4]
A,3,Ambastha,अम्बष्ठा,ambaṣṭhā,अम्बष्ठा,Hibiscus cannabinus Linn.,Controversial,Ambastha' has been mentioned in Caraka; With regard to its popularity there were a group of drugs mentioned under its name in Susruta samhita; Cakrapani has identified it has 'Pathabheda' where as Dalhana as 'Kakamaci'; But both of them can be ruled out as have different rasa (taste) when compared to 'Ambastha'; During the medieval period its identity was controversial and it was considered as a synonym of many drugs having amla rasa; So it was identified with this species; But there is a doubt regarding this as 'Ambastha' mentioned in Samhitas was having kasaya rasa; Needs to be studied further,[5]
A,3,Ambastha,अम्बष्ठा,ambaṣṭhā,अम्बष्ठकी,Hibiscus cannabinus Linn.,Controversial,This drug needs to be examined as there is a confusion regarding 2 names which are synonyms of each other and are also mentioned under 2 different group of drugs in the ancient texts.,[1]
A,3,Ambastha,अम्बष्ठा,ambaṣṭhā,अम्बष्ठा,Quercus infectoria Oliv.,Accepted source,It is identified with this species,[5]
A,3,Ambastha,अम्बष्ठा,ambaṣṭhā,अम्बष्ठकी,Quercus sp.,Controversial,With referance to etymology of the drug this plant is taken into consideration,[1]
A,3,Ambastha,अम्बष्ठा,ambaṣṭhā,अम्बष्ठकी,Tamarix sp.,Controversial,With referance to etymology of the drug this plant is taken into consideration,[1]
A,3,Ambasthaki,अम्बष्ठकी,ambaṣṭhakī,अम्बष्ठा,Hibiscus cannabinus Linn.,Controversial,Ambastha' has been mentioned in Caraka; With regard to its popularity there were a group of drugs mentioned under its name in Susruta samhita; Cakrapani has identified it has 'Pathabheda' where as Dalhana as 'Kakamaci'; But both of them can be ruled out as have different rasa (taste) when compared to 'Ambastha'; During the medieval period its identity was controversial and it was considered as a synonym of many drugs having amla rasa; So it was identified with this species; But there is a doubt regarding this as 'Ambastha' mentioned in Samhitas was having kasaya rasa; Needs to be studied further,[5]
A,3,Ambasthaki,अम्बष्ठकी,ambaṣṭhakī,अम्बष्ठकी,Hibiscus cannabinus Linn.,Controversial,This drug needs to be examined as there is a confusion regarding 2 names which are synonyms of each other and are also mentioned under 2 different group of drugs in the ancient texts.,[1]
A,3,Ambasthaki,अम्बष्ठकी,ambaṣṭhakī,अम्बष्ठा,Quercus infectoria Oliv.,Accepted source,It is identified with this species,[5]
A,3,Ambasthaki,अम्बष्ठकी,ambaṣṭhakī,अम्बष्ठकी,Quercus sp.,Controversial,With referance to etymology of the drug this plant is taken into consideration,[1]
A,3,Ambasthaki,अम्बष्ठकी,ambaṣṭhakī,अम्बष्ठकी,Tamarix sp.,Controversial,With referance to etymology of the drug this plant is taken into consideration,[1]
A,3,Amlaparni,अम्लपर्णी,amlaparṇī,अम्लपर्णी,Amorphophallus bulbifer Blume.,Accepted source,With regard to the synonyms given to 'Amlaparni' it is identified with this species,[5]
A,3,Amlaparni,अम्लपर्णी,amlaparṇī,अम्लपर्णी,Rheum emodi Wall.,Accepted source,Amlaparni is identified with this species,[3]
A,3,Amlaparni,अम्लपर्णी,amlaparṇī,अम्लपर्णी,Vitis trifolia Linn.,Suggested source,Thakur Balwant Singh suggested this species to be as  Amlaparni,[5]
A,4,Amlaparni - prajati,अम्लपर्णी प्रजाती,amlaparṇī prajātī,अम्लपर्णी प्रजाती,Rhapontic Rhubarb,Market source,It is one of the 3 varieties available in the market. It is Originally from Russia but now cultivated in India.This species is a variety of R.rhaponticum,[3]
A,4,Amlaparni - prajati,अम्लपर्णी प्रजाती,amlaparṇī prajātī,अम्लपर्णी प्रजाती,Rheum moorcroftianum Royle,Market source,This is a variety of R.emodi found in Himachal Pradesh The roots are sold in the market as Amlaparni,[3]
A,4,Amlaparni - prajati,अम्लपर्णी प्रजाती,amlaparṇī prajātī,अम्लपर्णी प्रजाती,Rheum nobile Hook. f. & Thomas,Market source,This is a variety of R.emodi found in Himachal Pradesh The roots are sold in the market as Amlaparni,[3]
A,4,Amlaparni - prajati,अम्लपर्णी प्रजाती,amlaparṇī prajātī,अम्लपर्णी प्रजाती,Rheum officinale Baill.,Market source,Amlaparni is obtained from this species found in China,[3]
A,4,Amlaparni - prajati,अम्लपर्णी प्रजाती,amlaparṇī prajātī,अम्लपर्णी प्रजाती,Rheum palmatum Linn.,Market source,Amlaparni is obtained from this species found in China,[3]
A,4,Amlaparni - prajati,अम्लपर्णी प्रजाती,amlaparṇī prajātī,अम्लपर्णी प्रजाती,Rheum rhaponticum Linn.,Market source,It is one of the 3 varieties available in the market Originally from Russia but now cultivated in India,[3]
A,4,Amlaparni - prajati,अम्लपर्णी प्रजाती,amlaparṇī prajātī,अम्लपर्णी प्रजाती,Rheum spiciforma Royle,Market source,This is a variety of R.emodi found in Himachal Pradesh The roots are sold in the market as Amlaparni,[3]
A,4,Amlaparni - prajati,अम्लपर्णी प्रजाती,amlaparṇī prajātī,अम्लपर्णी प्रजाती,Rheum webbianum Royle,Market source,This is a variety of R.emodi found in Himachal Pradesh The roots are sold in the market as Amlaparni,[3]
A,4,Amlavetasa,अम्लवेतस,amlavetasa,अम्लवेतस,Citrus sp.,Most probable,This has often been used together with Matulunga which is a citrus fruit and hence correlated,[1]
A,4,Amlavetasa,अम्लवेतस,amlavetasa,अम्लवेतस,Garcinia pedunculata Roxb.,Accepted source,Identified with it,[1]
A,4,Amlavetasa,अम्लवेतस,amlavetasa,अम्लवेतस,Garcinia pedunculata Roxb.,Accepted source,In Gujarat this species is used as Amlavetasa and can be taken into consideration with regard to its properties which is similar as mentioned in the texts,[2]
A,4,Amlavetasa,अम्लवेतस,amlavetasa,अम्लवेतस,Garcinia pedunculata Roxb.,Accepted source,Amlavetasa is identified with this species,[3]
A,4,Amlavetasa,अम्लवेतस,amlavetasa,अम्लवेतस,Garcinia pedunculata Roxb.,Most probable,The fruit of Garcinia pedunculata is used as Amlavetasa in Bengal and Assam,[1]
A,4,Amlavetasa,अम्लवेतस,amlavetasa,अम्लवेतस,Garcinia pedunculata Roxb.,Suggested source,Ancient samhitas have mentioned 'Amlavetasa' under the 'Amlavarga' (group of sour) and 'Phalavarga' (group of fruits) which resembles the 'Vetasa' tree whose fruits are sour; It has properties where in it has the ability to dissolve almost anything; With regard to the above properties they have suggested to use this species and use its fruits as 'Amlavetasa',[5]
A,4,Amlavetasa,अम्लवेतस,amlavetasa,अम्लवेतस,Garcinia sp.,Accepted source,Identified with this species,[5]
A,4,Amlavetasa,अम्लवेतस,amlavetasa,अम्लवेतस,Garcinia xanthochymous Hook.,Suggested source,Ancient samhitas have mentioned 'Amlavetasa' under the 'Amlavarga' (group of sour) and 'Phalavarga' (group of fruits) which resembles the 'Vetasa' tree whose fruits are sour; It has properties where in it has the ability to dissolve almost anything; With regard to the above properties they have suggested to use Garcinia pedunculata and use its fruits as 'Amlavetasa'; This species is a sub type of the prior and is prevelent in Puri as 'Amlavetasa',[5]
A,4,Amlavetasa,अम्लवेतस,amlavetasa,अम्लवेतस,Rheum emodi,Market source,Twigs of Rheum are sold in the market as Amlavetasa,[2]
A,4,Amlavetasa,अम्लवेतस,amlavetasa,अम्लवेतस,Rheum emodi Wall ex Meissn.,Market source,This species is being used as 'Amlavetasa' in the markets,[5]
A,4,Amlavetasa,अम्लवेतस,amlavetasa,अम्लवेतस,Rheum sp.,Substituted source,The tradional use of Rheum stalks may be allowed to continue as a substitue for it.,[1]
A,4,Amlika,अम्लिका,amlikā,अम्लिका,Dioscorea oppositifolia.,Suggested source,This species is suggested by Vaidya Bapalal with regard to it being a tuber as mentioned by commentators,[5]
