letter,page,drug_name,sanskrit_name,transliteration,ref_drug_name,botanical_correlation,status,discussion,reference
S,6,Slesmataka - jati,श्लेष्मातक जाति,śleṣmātaka jāti,श्लेष्मातक जाति,Cordia Wallichii G. Don.,,,[3]
S,6,Snuhi,स्नुही,snuhī,स्नुही,Euphorbia antiquorum Linn.,Most probable,Most probably identified with this species,[1]
S,6,Snuhi,स्नुही,snuhī,स्नुही जाति,Euphorbia antiquorum Linn.,,,[3]
S,6,Snuhi,स्नुही,snuhī,स्नुही,Euphorbia neriifolia Linn.,,,[3]
S,6,Snuhi,स्नुही,snuhī,स्नुही,Euphorbia neriifolia Linn.,Most probable,Most probably identified with this species,[1]
S,6,Snuhi,स्नुही,snuhī,स्नुही,Euphorbia nevulia Buch.-Ham.,Most probable,Most probably identified with this species,[1]
S,6,Snuhi,स्नुही,snuhī,स्नुही जाति,Euphorbia nivulia Buch-Ham,,,[3]
S,6,Snuhi,स्नुही,snuhī,स्नुही,Euphorbia royleana Boiss.,Most probable,Most probably identified with this species,[1]
S,6,Snuhi,स्नुही,snuhī,स्नुही जाति,Euphorbia royleana Boiss.,,,[3]
S,6,Snuhi,स्नुही,snuhī,स्नुही जाति,Euphorbia tirucalli Linn.,,,[3]
S,6,Snuhi,स्नुही,snuhī,स्नुही,Euphorbia trigona Haw.,Most probable,Most probably identified with this species,[1]
S,6,Snuhi - jati,स्नुही जाति,snuhī jāti,स्नुही,Euphorbia antiquorum Linn.,Most probable,Most probably identified with this species,[1]
S,6,Snuhi - jati,स्नुही जाति,snuhī jāti,स्नुही जाति,Euphorbia antiquorum Linn.,,,[3]
S,6,Snuhi - jati,स्नुही जाति,snuhī jāti,स्नुही,Euphorbia neriifolia Linn.,,,[3]
S,6,Snuhi - jati,स्नुही जाति,snuhī jāti,स्नुही,Euphorbia neriifolia Linn.,Most probable,Most probably identified with this species,[1]
S,6,Snuhi - jati,स्नुही जाति,snuhī jāti,स्नुही,Euphorbia nevulia Buch.-Ham.,Most probable,Most probably identified with this species,[1]
S,6,Snuhi - jati,स्नुही जाति,snuhī jāti,स्नुही जाति,Euphorbia nivulia Buch-Ham,,,[3]
S,6,Snuhi - jati,स्नुही जाति,snuhī jāti,स्नुही,Euphorbia royleana Boiss.,Most probable,Most probably identified with this species,[1]
S,6,Snuhi - jati,स्नुही जाति,snuhī jāti,स्नुही जाति,Euphorbia royleana Boiss.,,,[3]
S,6,Snuhi - jati,स्नुही जाति,snuhī jāti,स्नुही जाति,Euphorbia tirucalli Linn.,,,[3]
