Plant Name,Distribution Map URL
Alstonia scholaris R.BR.,http://envis.frlht.org/distrimaps/geomaps/138.jpg
Alstonia venenata R.BR.,http://envis.frlht.org/distrimaps/geomaps/139.jpg
Alternanthera sessilis (L.) R.BR.EX DC.,http://envis.frlht.org/distrimaps/geomaps/140.jpg
Alternanthera triandra LAM.,http://envis.frlht.org/distrimaps/geomaps/140.jpg
Althaea officinalis L.,http://envis.frlht.org/distrimaps/geomaps/142.jpg
Altingia excelsa NORONHA,http://envis.frlht.org/distrimaps/geomaps/143.jpg
Amaranthus spinosus L.,http://envis.frlht.org/distrimaps/geomaps/152.jpg
Ammannia baccifera L.,http://envis.frlht.org/distrimaps/geomaps/157.jpg
Ammannia vesicatoria ROXB.,http://envis.frlht.org/distrimaps/geomaps/157.jpg
Amomum aromaticum ROXB.,http://envis.frlht.org/distrimaps/geomaps/158.jpg
Amomum subulatum ROXB.,http://envis.frlht.org/distrimaps/geomaps/159.jpg
Amoora rohituka (ROXB.) WIGHT & ARN.,http://envis.frlht.org/distrimaps/geomaps/202.jpg
Amorphophallus paeoniifolius (DENNST.) NICOLSON,http://envis.frlht.org/distrimaps/geomaps/165.jpg
Amorphophallus sylvaticus (ROXB.) KUNTH,http://envis.frlht.org/distrimaps/geomaps/4158.jpg
Ampelocissus araneosa (DALZ. & CRIBBS.) PLANCH.,http://envis.frlht.org/distrimaps/geomaps/166.jpg
Anamirta cocculus (L.) WIGHT & ARN.,http://envis.frlht.org/distrimaps/geomaps/174.jpg
Anaphalis neelgerriana DC.,http://envis.frlht.org/distrimaps/geomaps/179.jpg
Andrachne cadishaw ROXB.,http://envis.frlht.org/distrimaps/geomaps/573.jpg
Andrographis paniculata (BURM.F.)WALLICH EX NEES.,http://envis.frlht.org/distrimaps/geomaps/181.jpg
Andropogon martini ROXB.,http://envis.frlht.org/distrimaps/geomaps/725.jpg
Andropogon muricatus RETZ.,http://envis.frlht.org/distrimaps/geomaps/2177.jpg
Andropogon squarrosus L.F.,http://envis.frlht.org/distrimaps/geomaps/2177.jpg
Angelica glauca EDGEW.,http://envis.frlht.org/distrimaps/geomaps/188.jpg
Anisomeles malabarica R.BR. EX SIMS,http://envis.frlht.org/distrimaps/geomaps/190.jpg
Anogeissus latifolia WALL. EX. GUILL. & PERR.,http://envis.frlht.org/distrimaps/geomaps/194.jpg
Antiaris toxicaria (PERS.) LESCH.,http://envis.frlht.org/distrimaps/geomaps/200.jpg
Aphanamixis polystachya (WALL.) PARKER,http://envis.frlht.org/distrimaps/geomaps/202.jpg
Aplotaxis auriculata DC.,http://envis.frlht.org/distrimaps/geomaps/1867.jpg
Aquilaria agallocha ROXB.,http://envis.frlht.org/distrimaps/geomaps/5663.jpg
"Aquilaria malaccensis LAM.,",http://envis.frlht.org/distrimaps/geomaps/5663.jpg
Argemone mexicana L.,http://envis.frlht.org/distrimaps/geomaps/212.jpg
Argyreia fulgens CHOISY,http://envis.frlht.org/distrimaps/geomaps/213.jpg
Argyreia nervosa (BURM.F.) BOJ.,http://envis.frlht.org/distrimaps/geomaps/219.jpg
Argyreia speciosa SWEET,http://envis.frlht.org/distrimaps/geomaps/219.jpg
Aristolochia bracteata RETZ.,http://envis.frlht.org/distrimaps/geomaps/222.jpg
Aristolochia bracteolata LAM.,http://envis.frlht.org/distrimaps/geomaps/222.jpg
Aristolochia indica L.,http://envis.frlht.org/distrimaps/geomaps/224.jpg
Arnebia benthamii (WALL. EX G.DON) JOHNSTON,http://envis.frlht.org/distrimaps/geomaps/225.jpg
Artabotrys hexapetalus (L.F.) BHANDARI,http://envis.frlht.org/distrimaps/geomaps/227.jpg
Artabotrys odoratissimus R.BR.,http://envis.frlht.org/distrimaps/geomaps/227.jpg
Artanema longifolia (L.) MERRILL,http://envis.frlht.org/distrimaps/geomaps/229.jpg
Artanema longifolium (L.) VATAKE,http://envis.frlht.org/distrimaps/geomaps/229.jpg
Artanema sesamoides (VAHL) BENTH.,http://envis.frlht.org/distrimaps/geomaps/229.jpg
Artemisia absinthium L.,http://envis.frlht.org/distrimaps/geomaps/231.jpg
Artemisia brevifolia WALL. EX DC.,http://envis.frlht.org/distrimaps/geomaps/236.jpg
Artemisia indica WILLD.,http://envis.frlht.org/distrimaps/geomaps/237.jpg
Artemisia maritima L.,http://envis.frlht.org/distrimaps/geomaps/236.jpg
Artemisia nilagirica (CLARKE) PAMP.,http://envis.frlht.org/distrimaps/geomaps/237.jpg
Artemisia sieversiana EHRH. EX WILLD.,http://envis.frlht.org/distrimaps/geomaps/239.jpg
Artemisia vulgaris AUCT.NON L.,http://envis.frlht.org/distrimaps/geomaps/237.jpg
Artocarpus gomezianus WALL. EX TREC. Subsp. zeylanicus JANET,http://envis.frlht.org/distrimaps/geomaps/242.jpg
Artocarpus hirsutus LAM.,http://envis.frlht.org/distrimaps/geomaps/246.jpg
Arundo donax L.,http://envis.frlht.org/distrimaps/geomaps/248.jpg
Asclepias asthmatica WILLD.,http://envis.frlht.org/distrimaps/geomaps/2141.jpg
Asclepias gigantea WILLD.,http://envis.frlht.org/distrimaps/geomaps/409.jpg
Asclepias vomitoria KOEN. EX HOOK.F.,http://envis.frlht.org/distrimaps/geomaps/2141.jpg
Asparagus adscendens ROXB.,http://envis.frlht.org/distrimaps/geomaps/252.jpg
Asparagus filicinus BUCH .-HAM. EX D. DON,http://envis.frlht.org/distrimaps/geomaps/254.jpg
Asparagus racemosus WILLD.,http://envis.frlht.org/distrimaps/geomaps/256.jpg
Asteracantha longifolia (L.) NEES,http://envis.frlht.org/distrimaps/geomaps/1158.jpg
Atalantia monophylla CORR.,http://envis.frlht.org/distrimaps/geomaps/260.jpg
Atylosia barbata (BENTH.) BAKER,http://envis.frlht.org/distrimaps/geomaps/262.jpg
Atylosia goensis DALZ.,http://envis.frlht.org/distrimaps/geomaps/262.jpg
Azadirachta indica A. JUSS.,http://envis.frlht.org/distrimaps/geomaps/266.jpg
Azima tetracantha LAM.,http://envis.frlht.org/distrimaps/geomaps/267.jpg
Bacopa monnieri (L.) PENNELL,http://envis.frlht.org/distrimaps/geomaps/269.jpg
Balanites aegyptiaca (L.) DELILE,http://envis.frlht.org/distrimaps/geomaps/271.jpg
Balanites roxburghii PLANCH.,http://envis.frlht.org/distrimaps/geomaps/271.jpg
Baliospermum axillare BLUME,http://envis.frlht.org/distrimaps/geomaps/279.jpg
Baliospermum montanum (WILLD.) MUELL.-ARG.,http://envis.frlht.org/distrimaps/geomaps/279.jpg
Baliospermum solanifolium (J.BURM.) SURESH,http://envis.frlht.org/distrimaps/geomaps/279.jpg
Balsamodendron mukul HOOK. EX STOCKS.,http://envis.frlht.org/distrimaps/geomaps/625.jpg
Barleria acanthoides VAHL.,http://envis.frlht.org/distrimaps/geomaps/283.jpg
Barleria courtallica NEES,http://envis.frlht.org/distrimaps/geomaps/285.jpg
Barleria cristata L.,http://envis.frlht.org/distrimaps/geomaps/286.jpg
Barleria longifolia L.,http://envis.frlht.org/distrimaps/geomaps/1158.jpg
Barleria strigosa WILLD.,http://envis.frlht.org/distrimaps/geomaps/291.jpg
Barringtonia acutangula (L.) GAERTN.,http://envis.frlht.org/distrimaps/geomaps/292.jpg
Barringtonia racemosa (L.) K.SPRENG.,http://envis.frlht.org/distrimaps/geomaps/293.jpg
Basella cordifolia LAM.,http://envis.frlht.org/distrimaps/geomaps/1453.jpg
Bauhinia malabarica ROXB.,http://envis.frlht.org/distrimaps/geomaps/301.jpg
Bauhinia racemosa LAM.,http://envis.frlht.org/distrimaps/geomaps/303.jpg
Bauhinia vahlii WIGHT & ARN.,http://envis.frlht.org/distrimaps/geomaps/305.jpg
Berberis aristata DC.,http://envis.frlht.org/distrimaps/geomaps/309.jpg
Berberis asiatica ROXB.,http://envis.frlht.org/distrimaps/geomaps/310.jpg
Berberis chitria EDWARDS,http://envis.frlht.org/distrimaps/geomaps/6672.jpg
Berberis lycium ROYLE,http://envis.frlht.org/distrimaps/geomaps/311.jpg
Bergenia ciliata (HOW.) STERN.,http://envis.frlht.org/distrimaps/geomaps/313.jpg
Bergenia ligulata SENSU BAILEY,http://envis.frlht.org/distrimaps/geomaps/313.jpg
Bergenia stracheyi (HOOK.F.& THOMS.) ENGL.,http://envis.frlht.org/distrimaps/geomaps/316.jpg
Betula bhojpattra WALL.,http://envis.frlht.org/distrimaps/geomaps/320.jpg
Betula utilis DON,http://envis.frlht.org/distrimaps/geomaps/320.jpg
Bignonia chelonoides L.F.,http://envis.frlht.org/distrimaps/geomaps/1984.jpg
Bignonia indica L.,http://envis.frlht.org/distrimaps/geomaps/1567.jpg
Biophytum sensitivum (L.) DC.,http://envis.frlht.org/distrimaps/geomaps/325.jpg
Blepharispermum subsessile DC.,http://envis.frlht.org/distrimaps/geomaps/329.jpg
Blumea balsamifera DC.,http://envis.frlht.org/distrimaps/geomaps/330.jpg
Blumea densiflora DC.,http://envis.frlht.org/distrimaps/geomaps/330.jpg
Blumea erientha DC.,http://envis.frlht.org/distrimaps/geomaps/332.jpg
