Botanical Name,Family,Systems,Synonym,Image URL,Detail URL
Cajanus cajan (L.) MILLSP.,FABACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Cajanus bicolor DC. Cajanus indicus SPR.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/56cace4947d620fcfd20cee3d4fdb047
Cajanus cajan (L.) MILLSP.,FABACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Cajanus bicolor DC. Cajanus indicus SPR.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/56cace4947d620fcfd20cee3d4fdb047/xclkon/c051ef12e7ce4a1ef377dbc101af184b
Calacanthus grandiflorus (DALZ.) RADLK..,ACANTHACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/59da2cf70180c2f507e4d9842c2af55a
,ARECACEAE,"Ayurveda, Siddha, Unani",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/a65f732da7e981301d2966d3baa54d4c/xclkon/e1b2af2b9587e9acfa7cf63e83dbd67f
,ARECACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/9ec21b92cc596a36de300fd86fc2c17b
,ARECACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/ed4de20c78cd9e1f9ca9c7a947499f94
Calamus tenuis ROXB.,ARECACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/9684265bbdd694d429df0684f1b656c3
,ARECACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/2992729662ad65b4a9ccb5f93551bc74
,ARECACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/3b0976311c9d03731c49bc5d487b01fd
Callicarpa tomentosa (L.) MURRAY,VERBENACEAE,"Ayurveda, Siddha, Folk",Callicarpa lanata L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/0eab29415158cf66459a214a22e8270d/xclkon/9707fc328cbb2de598e30ab7791a4a3e
Callicarpa macrophylla VAHL,VERBENACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/adea83ae493dfc4b7a3ada879d9cab93
Callicarpa tomentosa (L.) MURRAY,VERBENACEAE,"Ayurveda, Siddha, Folk",Callicarpa lanata L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/0eab29415158cf66459a214a22e8270d
,POLYGONACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/0cde8e5f82a4056d8e0ff6ba531a0544
,PINACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/685d56b12a0c4ecffc00f5c3a166da19
Ipomoea alba L.,CONVOLVULACEAE,"Ayurveda, Siddha, Folk",Calonyction bona-nox BOJER,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/6d41ae8af1894f85189fe615b8ec4def/xclkon/081b3e8d1ba2ee4078db0d19bc536c3a
Calophyllum inophyllum L.,CLUSIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/63361b942f516ca1f261db839c74d854
Oroxylum indicum (L.) VENT.,BIGNONIACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Bignonia indica L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/f41aa7d1c905dc82c023d554c64884a9/xclkon/13c4f15314121781103351dffc6a2a3c
Calotropis gigantea (L.) R.BR.,ASCLEPIADACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk, Sowa-Rigpa",Asclepias gigantea WILLD.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/9154e8f7b6a3cdddea2f4dd0a1076f89
"Calotropis gigantea (L,) R.BR. var. alba",ASCLEPIADACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/eac68c0c23fc56a27eaa666f274da2db
Calotropis procera R.BR.,ASCLEPIADACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/c76266822323a28653a10f8f215007d2
Calycopteris floribunda LAM.,COMBRETACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/92086bd1150c9bf98348c10418025c79
,MYRTACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/0b89287ed4b6f6a19c84ac4475488720
Syzygium cumini (L.) SKEELS,MYRTACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk, Sowa-Rigpa",Calyptranthes jambolana MOON. Eugenia jambolana LAM.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/d5469b2ff22373aaaa14897e42ad27ef/xclkon/565df43ee5d3f7be65dd61a87fee203c
Camellia sinensis (L.) O.KUNTZE,THEACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/d8da523ca7ff8194b8bce431ed9ef7c9
Camellia sinensis (L.) O.KUNTZE,THEACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/d8da523ca7ff8194b8bce431ed9ef7c9/xclkon/84c621e5c2d9dc98500ccb1fa22a674f
,LAURACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk, Sowa-Rigpa",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/aa6cfda88d906581d2000529298c2963/xclkon/94e98599a3e70f6c14ef24b9bd5bb623
,BIGNONIACEAE,"Ayurveda, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/f466bf653e4f8e96ab85828b892facc3
Canarium strictum ROXB.,BURSERACEAE,"Ayurveda, Siddha, Folk",Canarium resiniferum BRUCE EX KING,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/a57a6b33ecc826baa2dd4a18c7566cc4/xclkon/e73a711d2a046cd4265ed6735d42d017
Canarium strictum ROXB.,BURSERACEAE,"Ayurveda, Siddha, Folk",Canarium resiniferum BRUCE EX KING,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/a57a6b33ecc826baa2dd4a18c7566cc4
,FABACEAE,"Ayurveda, Siddha",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/3b4655846cbe42dc6e7077bb62f44b4a/xclkon/aee4777276c6f39b05ed71d735e97f30
,FABACEAE,"Ayurveda, Siddha",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/3b4655846cbe42dc6e7077bb62f44b4a
"Canna coccinea MILL. X Family - CANNACEAE System(s) of Indian Medicine - Ayurveda, Siddha, Folk Botanical Synonyms (1) - Canna indica L.",CANNACEAE,"Ayurveda, Siddha, Folk",Canna indica L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/20945086dc021dc46c056a58a2db1ce0
"Canna coccinea MILL. X Family - CANNACEAE System(s) of Indian Medicine - Ayurveda, Siddha, Folk Botanical Synonyms (1) - Canna indica L.",CANNACEAE,"Ayurveda, Siddha, Folk",Canna indica L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/20945086dc021dc46c056a58a2db1ce0/xclkon/57b1f1f79328b806d17237959b22170c
Cannabis sativa L.,CANNABINACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk, Sowa-Rigpa",Cannabis indica L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/ecd201452a1b2725f9d85e58abdbbf8b/xclkon/b59424de294b278d83bc700a8953f895
Cannabis sativa L.,CANNABINACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk, Sowa-Rigpa",Cannabis indica L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/ecd201452a1b2725f9d85e58abdbbf8b
Canscora decussata SCHULTES & SCHULTES.F.,GENTIANACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/2f376dc7bb61f9e88cb933a2e374fc1d
Canscora diffusa (VAHL) R. BR.,GENTIANACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/b980ee74d14fdca6e2c6804db0287848
Canthium coromandelicum (N.BURM.),RUBIACEAE,"Ayurveda, Siddha, Folk",Canthium parviflorum LAM.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/dea5e5d7ef738a145a2bdd254197fe97
"Canthium dicoccum (GAERTN.) TEIJSM. & BINN. var. dicoccum X Family - RUBIACEAE System(s) of Indian Medicine - Ayurveda, Siddha, Folk Botanical Synonyms (1) - Canthium umbellatum WIGHT",RUBIACEAE,"Ayurveda, Siddha, Folk",Canthium umbellatum WIGHT,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/94a7684c982f9fb37566ada354e0c1e9
Canthium coromandelicum (N.BURM.),RUBIACEAE,"Ayurveda, Siddha, Folk",Canthium parviflorum LAM.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/dea5e5d7ef738a145a2bdd254197fe97/xclkon/3c94ddcbb81c25b5f005b7eb3f51e1bc
"Canthium dicoccum (GAERTN.) TEIJSM. & BINN. var. dicoccum X Family - RUBIACEAE System(s) of Indian Medicine - Ayurveda, Siddha, Folk Botanical Synonyms (1) - Canthium umbellatum WIGHT",RUBIACEAE,"Ayurveda, Siddha, Folk",Canthium umbellatum WIGHT,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/94a7684c982f9fb37566ada354e0c1e9/xclkon/2b949f59f19caa0b5c557232806d9041
Capparis decidua (FORSK.) EDGEW.,CAPPARACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Capparis aphylla ROTH. NOV.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/097e59d34e31f548d8c5d40949d1fc74/xclkon/0500dd3cb3de83602a075bde6944aa48
Carissa carandas L.,APOCYNACEAE,"Ayurveda, Siddha, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/6d7a36f5544883df67f5288d43948d0b/xclkon/b48714422d4f2c08fc5cdf1fb8333a2a
Capparis decidua (FORSK.) EDGEW.,CAPPARACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Capparis aphylla ROTH. NOV.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/097e59d34e31f548d8c5d40949d1fc74
,CAPPARACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/d371565d3a8f6a310089f0bb0929d657
Capparis zeylanica L.,CAPPARACEAE,"Ayurveda, Siddha, Folk",Capparis horrida L.F.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/58291bd7c778fcf41269749eb9425e36/xclkon/fe8d7c17a19192cf997ca8ec6288231e
Capparis moonii WIGHT,CAPPARACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/8e6d4df9c68f58a339901846ff2ed17f
Capparis roxburghii DC.,CAPPARACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/d4a33b327b00a983811a8e94a3d29e78
Capparis sepiaria L.,CAPPARACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/b9bebfeaceff48a4d6608e484686b38d
,CAPPARACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/a4d52d1d12e92081afc6d1ec845de8b1
Capparis zeylanica L.,CAPPARACEAE,"Ayurveda, Siddha, Folk",Capparis horrida L.F.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/58291bd7c778fcf41269749eb9425e36
Capsicum annuum L.,SOLANACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/51ad80cf55dd613f3375e82a18b3d777
,SOLANACEAE,"Ayurveda, Siddha, Unani, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/79ac12fefc96c8aed2998db0a7cbef54/xclkon/29727001e61d8d32bf722f0dc9428936
,SOLANACEAE,"Ayurveda, Siddha, Unani, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/79ac12fefc96c8aed2998db0a7cbef54
,SOLANACEAE,"Ayurveda, Siddha, Unani, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/79ac12fefc96c8aed2998db0a7cbef54/xclkon/6ea68098bb71ee565b5841307ea90b78
Caralluma edulis BENTH.,ASCLEPIADACEAE,"Ayurveda, Folk",Boucerosia aucheriana DECNE.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/ca16a5e61696888560f9308282848d6b
Cardiospermum halicacabum L.,SAPINDACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/d35bcc71906513792d99454dd5b22073
Careya arborea ROXB.,LECYTHIDACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/555260a885273d4bc22900a93dde378b
,LECYTHIDACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/d72991f2a73428045302d07175085290
Carica papaya L.,PASSIFLORACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/ff77f8fbcaf19f4a3e2298cdd823512a
Carissa carandas L.,APOCYNACEAE,"Ayurveda, Siddha, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/6d7a36f5544883df67f5288d43948d0b
Carissa spinarum L.,APOCYNACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/cf53da16c116eac5da081db0e481896b
Mucuna pruriens (L.) DC.,FABACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk, Sowa-Rigpa","Carpopogon pruriens ROXB. Dolichos pruriens (L,)",,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/8b22b64302e1857bf8ef9d889912e544/xclkon/56b32dbb471b2e9ce6df156cb58b6778
Carthamus tinctorius L.,ASTERACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/de5ae5c07e6806076e0e5bc72fd89729
Bunium persicum (BOISS.) FEDT.,APIACEAE,"Ayurveda, Siddha, Unani, Folk",Carum bulbocastanum AUCT. NON KOCH:C.B.CLARKE,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/2b46e111b609c4581210ea4ca8192a04/xclkon/0c83b5ffb3f024de6d5aabc862a8287b
Carum carvi L.,APIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/c7e54170b49ce79afffbec43fb7d25de
Trachyspermum ammi (L.) SPRAGUE,APIACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Carum copticum BENTH.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/30456577a3723bdb91e400b8b7993f8c/xclkon/b9563e0efa57c18349269948ab02c075
Trachyspermum roxburghianum (DC.) CRAIB,APIACEAE,"Ayurveda, Siddha, Unani, Folk",Carum roxburghianum KURZ.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/de4d1df014cf5312e958df4df1806039/xclkon/6b2601bec467a4dd8f4a15e9bd127db7
Syzygium aromaticum (L.) MERRILL & PERRY,MYRTACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Caryophyllus aromaticus L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/bce5381d0e29d38670508eacc491b6fd/xclkon/fa51df34f9ae79b77f17a9c8bcbeec6f
Caryota urens L.,ARECACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/4e1d645281ca634bb948970b146344d7
Cascabela thevetia (L.) LIPPOLD,APOCYNACEAE,"Ayurveda, Siddha, Homeopathy, Folk, Sowa-Rigpa",Thevetia neriifolia JUSS. EX. STEUDEL,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/5d98e136bf835caf4ca695c306d4299f
Casearia elliptica WILLD.,FLACOURTIACEAE,"Ayurveda, Siddha, Folk",Casearia tomentosa ROXB.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/855cacf1cd7c24c69d828c7fd975a7c0
Casearia zeylanica (GAERTN.) RHW.,FLACOURTIACEAE,"Ayurveda, Folk",Casearia esculenta ROXB.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/730d07047139517662a44b8d0f892f9b/xclkon/a3267a89be1c37cdfadd17e7db9f2095
Casearia zeylanica (GAERTN.) RHW.,FLACOURTIACEAE,"Ayurveda, Folk",Casearia esculenta ROXB.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/730d07047139517662a44b8d0f892f9b/xclkon/a3f3dd87e9b3b2fa950ed6a6e98d3efc
Casearia elliptica WILLD.,FLACOURTIACEAE,"Ayurveda, Siddha, Folk",Casearia tomentosa ROXB.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/855cacf1cd7c24c69d828c7fd975a7c0/xclkon/cd7ca48b2a823acbff062b3ae76fd0b2
Casearia zeylanica (GAERTN.) RHW.,FLACOURTIACEAE,"Ayurveda, Folk",Casearia esculenta ROXB.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/730d07047139517662a44b8d0f892f9b
Cassia absus L.,CAESALPINIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/acbc05d9fef4a6e8501f55ec4323d5b8
Cassia senna L.,CAESALPINIACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk",Cassia acutifolia DELILE Cassia angustifolia VAHL.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/43935e8d2aede8d6f69b22a7e157eba1/xclkon/3202512e48aa0debf11094a1f8f9cbb9
Cassia alata L.,CAESALPINIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/97414c5e10906573ceda917a2ae258f2
Cassia senna L.,CAESALPINIACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk",Cassia acutifolia DELILE Cassia angustifolia VAHL.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/43935e8d2aede8d6f69b22a7e157eba1/xclkon/4ebfdfa8bb171da203128b0e8add0ace
Cassia auriculata L.,CAESALPINIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/6508eac4f485855d8583f31fc94a2c57
Cassia fistula L.,CAESALPINIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/b652fb54216db83110ef00b2c5262ae5
Cassia italica (MILL.) SPRENG.,CAESALPINIACEAE,"Ayurveda, Unani, Homeopathy, Folk",Cassia obovata COLLOD.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/7ee4f045a3e22d3ead6ecc39e3854ba5
Cassia senna L.,CAESALPINIACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk",Cassia acutifolia DELILE Cassia angustifolia VAHL.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/43935e8d2aede8d6f69b22a7e157eba1/xclkon/f4acad7346bc4ab6373206369ed7e031
Cassia italica (MILL.) SPRENG.,CAESALPINIACEAE,"Ayurveda, Unani, Homeopathy, Folk",Cassia obovata COLLOD.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/7ee4f045a3e22d3ead6ecc39e3854ba5/xclkon/e0042f4262aa2e06e8928056447735fe
Cassia obtusifolia L.,CAESALPINIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/9dc99ed01cd75337be1fe40729cf37a6
Cassia occidentalis L.,CAESALPINIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/9a2cce5b5ed8523980ebb8dc49acbe7c
Cassia senna L.,CAESALPINIACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk",Cassia acutifolia DELILE Cassia angustifolia VAHL.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/43935e8d2aede8d6f69b22a7e157eba1
Cassia sophera L.,CAESALPINIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/290f639bc5f19896b8fe3fa7901d194e
Cassia tora L.,CAESALPINIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/e775a38d16f490fae110e80291cc8710
Cassine glauca (ROTTB.) O.KTZE.,CELASTRACEAE,"Ayurveda, Siddha, Folk",Elaeodendron glaucum PERS.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/7727492ab9aa7dcdfa024d295d8072ae
,CASSYTHACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/ed43dbfd597a20d586af076f4be9766c
Catharanthus pusillus (MURR.) G. DON,APOCYNACEAE,"Ayurveda, Siddha, Folk",Lochnera pusilla K.SCHUM.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/be52ef142a4bf30adacec5315f0ee7e5
Catharanthus roseus (L.) G.DON,APOCYNACEAE,"Ayurveda, Siddha, Folk",Lochnera rosea REICHB.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/6d9f8e9bebdec421ee02eb5709bbca66
Catunaregum spinosa (THUNB.) TIRVENGADUM,RUBIACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Gardenia dumetorum RETZ. Gardenia floribunda ROXB. Randia dumetorum LAM.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/1b163f98a9315a49f346598f315cbf73
Cayratia trifolia (L.) DOMIN,VITACEAE,"Ayurveda, Folk",Cayratia carnosa (WALL.) GAGNEP. EX WIGHT,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/e7ea06f9bc70c074b1835c99ea418e25/xclkon/3cb3893feaa9ec674602d38d0e8625b1
,VITACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/7b692f957b4e6ff4f43b3fe5b717583d
Cayratia pedata JUSS. EX GAGNEPAIN,VITACEAE,"Ayurveda, Siddha, Folk",Cissus pedata LAM.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/f4981331d887a60afddd055ea336f6e7
Cayratia trifolia (L.) DOMIN,VITACEAE,"Ayurveda, Folk",Cayratia carnosa (WALL.) GAGNEP. EX WIGHT,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/e7ea06f9bc70c074b1835c99ea418e25
Cedrela toona ROXB.,MELIACEAE,"Ayurveda, Siddha, Unani, Folk",Teona ciliata ROEM. Toona ciliata ROEM.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/52c82345cac6d02ebb5565290d2a1171
Cedrus deodara (ROXB.) LOUD.,PINACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Cedrus libani BARREL var. deodara HOOK.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/89b7f1eb2eb5a832b7a26aa6a24e9bf0
,PINACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/e0c873d905746576f4c38ebb47f4c5bd
Cedrus deodara (ROXB.) LOUD.,PINACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Cedrus libani BARREL var. deodara HOOK.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/89b7f1eb2eb5a832b7a26aa6a24e9bf0/xclkon/8d66a92efd2121ba156b2327f6d85199
Ceiba pentandra (L.) GAERTN.,BOMBACACEAE,"Ayurveda, Siddha, Unani, Folk",Eriodendron anfractuosum BC.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/f8a3e874c6fc54d081c50263ce5a27c2
Celastrus paniculatus WILLD.,CELASTRACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/4a9785d419e49cb21ac6db6e4feb41a7
Celosia cristata L.,AMARANTHACEAE,"Ayurveda, Siddha, Folk, Sowa-Rigpa",Celosia argentea L. var. cristata (L.),,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/e9685512bf1908889701b8896bc9df7e/xclkon/848e8c8237d8eee63d638995a9a77fa0
Celosia argentea L.,AMARANTHACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/4fa77807c636e8c9b9b9a756acaac47e
Celosia cristata L.,AMARANTHACEAE,"Ayurveda, Siddha, Folk, Sowa-Rigpa",Celosia argentea L. var. cristata (L.),,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/e9685512bf1908889701b8896bc9df7e
Celosia cristata L.,AMARANTHACEAE,"Ayurveda, Siddha, Folk, Sowa-Rigpa",Celosia argentea L. var. cristata (L.),,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/e9685512bf1908889701b8896bc9df7e/xclkon/b9f76e422a3f33d1bdb0c29edadf3e9a
Verbascum chinense (L.) SANT.,SCROPHULARIACEAE,"Ayurveda, Siddha, Folk",Celsia coromandeliana VAHL,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/a2f93928283eebce4a07933d8f360cc4/xclkon/eb29df9a821bd2406f49181285315d3a
Trema orientalis BL.,ULMACEAE,"Ayurveda, Siddha, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/6386e337568c15d7b94fb65fb3857cfb/xclkon/e414c79eff72fb0eb9f148d468888c93
"Centaurium roxburghii (G.DON) DRUCE X Family - GENTIANACEAE System(s) of Indian Medicine - Ayurveda, Folk Botanical Synonyms (2) - Centaurium centaurioides (ROXB.) ROLLA RAO Erythraea roxburghii G.DON",GENTIANACEAE,"Ayurveda, Folk",Centaurium centaurioides (ROXB.) ROLLA RAO Erythraea roxburghii G.DON,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/45ee92f9353217d7b2f65d20ff42ed68/xclkon/9d44d97bc8049cbcd07a6d6c5b39d4a7
"Centaurium roxburghii (G.DON) DRUCE X Family - GENTIANACEAE System(s) of Indian Medicine - Ayurveda, Folk Botanical Synonyms (2) - Centaurium centaurioides (ROXB.) ROLLA RAO Erythraea roxburghii G.DON",GENTIANACEAE,"Ayurveda, Folk",Centaurium centaurioides (ROXB.) ROLLA RAO Erythraea roxburghii G.DON,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/45ee92f9353217d7b2f65d20ff42ed68
Centella asiatica (L.) URBAN,APIACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk, Sowa-Rigpa",Hydrocotyle asiatica L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/530fa0427b8083e0804865ed9412308e
Centipeda minima (L.) A.BR.,ASTERACEAE,"Ayurveda, Siddha, Unani, Sowa-Rigpa",Centipeda orbicularis LOUR.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/0e80203226cdcd76092ae45b0d50dd93
Centipeda minima (L.) A.BR.,ASTERACEAE,"Ayurveda, Siddha, Unani, Sowa-Rigpa",Centipeda orbicularis LOUR.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/0e80203226cdcd76092ae45b0d50dd93/xclkon/96bd4c6675c0c24c53fb46efb0c7b4f4
Centratherum anthelminticum (L.) KUNTZE,ASTERACEAE,"Ayurveda, Siddha, Unani, Homeopathy",Vernonia anthelmintica (L.) WILLD.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/21e566ad80c6135f91fb60ec06d72722
Centrosema pubescens BENTH.,FABACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/6d503258b8b7b8783a3e67e64b84b800
Centrostachys aquatica (R.BR.) WALL.EX MIQ.,AMARANTHACEAE,"Ayurveda, Folk",Achyranthes aquatica R.BR.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/7e789e5d0fcb71ddcec73d5140d141bb
Allium cepa L.,LILIACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk, Sowa-Rigpa",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/d328e032eb232543e49a5288d340e70b/xclkon/e411f80e482a0978683cd1c026140433
,LILIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/24b359285a2a710b24490faf1d549701
Coccinia grandis (L.) VOIGT,CUCURBITACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Sowa-Rigpa",Bryonia grandis L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/383d8e5b2416efb02908d6731a765bcb/xclkon/d53d82aac8f730c6c9da3ee091e04fe6
Ceratophyllum demersum L.,CERATOPHYLLACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/882fdbde02cdc497d7a9a621b3dfa0c2
