Botanical Name,Family,Systems,Synonym,Image URL,Detail URL
Acacia farnesiana (L.) WILLD.,MIMOSACEAE,"Ayurveda, Siddha, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/95e116f7ecc19e2cd7ff6eb5107dcf86
Acacia ferruginea DC.,MIMOSACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/362bbc115e3b5eee4f7cf4c11d304d14
Acacia farnesiana (L.) WILLD.,MIMOSACEAE,"Ayurveda, Siddha, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/95e116f7ecc19e2cd7ff6eb5107dcf86/xclkon/8c062cd757887babaa65b3abaa8c5ece
"Acacia torta (ROXB) CRAIB X Family - MIMOSACEAE System(s) of Indian Medicine - Ayurveda, Siddha, Folk Botanical Synonyms (2) - Acacia caesia (L.) WILLD.",MIMOSACEAE,"Ayurveda, Siddha, Folk",Acacia caesia (L.) WILLD.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/d3c7121e51f49c77b0850046c545b663/xclkon/247131b67d857b963fdd85cb20541b7d
Acacia leucophloea (ROXB.) WILLD.,MIMOSACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/6b2b940657b1a4bc69ae71ccd0ba533d
"Acacia nilotica (L.) WILLD. EX DEL. subsp. indica (BENTH.) BRENAN X Family - MIMOSACEAE System(s) of Indian Medicine - Ayurveda, Siddha, Unani Botanical Synonyms (1) - Acacia arabica SENSU BAKER var. vediana COOKE",MIMOSACEAE,"Ayurveda, Siddha, Unani",Acacia arabica SENSU BAKER var. vediana COOKE,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/d80746c24cb58db7c1f5f3c091141574
Acacia pennata (L.) WILLD.,MIMOSACEAE,"Ayurveda, Siddha, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/0bb1c32b6a6a2631466a0bdf9fb07fb7
,MIMOSACEAE,"Ayurveda, Siddha, Folk, Sowa-Rigpa",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/83056fd67495bdba1f0a16b9b55de29f
,MIMOSACEAE,"Ayurveda, Siddha, Folk, Sowa-Rigpa",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/83056fd67495bdba1f0a16b9b55de29f/xclkon/d7cda0181e6002a8b0dcff723785d99b
"Acacia sinuata (LOUR.) MERR. X Family - MIMOSACEAE System(s) of Indian Medicine - Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa Botanical Synonyms (3) - Acacia concinna (WILLD.) DC.",MIMOSACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Acacia concinna (WILLD.) DC.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/f07e3b8351810aafdef5ffd5c917230f/xclkon/0de24ac3739781c6fac0d3d0684f2443
,MIMOSACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/7e1f927fec6eccae70f76bd9aa117949
"Acacia sinuata (LOUR.) MERR. X Family - MIMOSACEAE System(s) of Indian Medicine - Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa Botanical Synonyms (3) - Acacia concinna (WILLD.) DC.",MIMOSACEAE,"Ayurveda, Siddha, Unani, Folk, Sowa-Rigpa",Acacia concinna (WILLD.) DC.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/f07e3b8351810aafdef5ffd5c917230f
Albizia lebbeck (L.) BENTH.,MIMOSACEAE,"Ayurveda, Siddha, Unani, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/68f6147b05f7b71efbfc954bc0538fe2/xclkon/862e794ea388d42642fee15e2e297baf
,MIMOSACEAE,"Ayurveda, Siddha, Folk, Sowa-Rigpa",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/83056fd67495bdba1f0a16b9b55de29f/xclkon/05b8a9164a5a880ce42e2ec09143a869
"Acacia torta (ROXB) CRAIB X Family - MIMOSACEAE System(s) of Indian Medicine - Ayurveda, Siddha, Folk Botanical Synonyms (2) - Acacia caesia (L.) WILLD.",MIMOSACEAE,"Ayurveda, Siddha, Folk",Acacia caesia (L.) WILLD.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/d3c7121e51f49c77b0850046c545b663
Acalypha indica L.,EUPHORBIACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/4c0301ec9018beefcbe8e6b16f3537b5
,ORCHIDACEAE,"Ayurveda, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/b60d4a176044f52bdb5f7b5be6f8744f/xclkon/efd926a157d0554947b0951f7c239880
,ORCHIDACEAE,"Ayurveda, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/b60d4a176044f52bdb5f7b5be6f8744f
Acanthus ilicifolius L.,ACANTHACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/39f4bd15dec15e6a599486339b42a928
Centrostachys aquatica (R.BR.) WALL.EX MIQ.,AMARANTHACEAE,"Ayurveda, Folk",Achyranthes aquatica R.BR.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/7e789e5d0fcb71ddcec73d5140d141bb/xclkon/441f547c648185c378f2c68017409f23
Achyranthes aspera L.,AMARANTHACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/00476847af4ebbbd31e6dad28ea1f00f
Achyranthes bidentata BLUME,AMARANTHACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/0ade13c9473f958ad7c3656011f9ad03
Aerva lanata (L.) JUSS. EX SCHULT.,AMARANTHACEAE,"Ayurveda, Siddha, Folk",Achyranthes lanata L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/dd17f379b080d5226a4174ddbd477a84/xclkon/d6956d5487fa6d22e75e8b771e6a7914
Aconitum atrox (BRUHL) MUK.,RANUNCULACEAE,"Ayurveda, Folk",Aconitum balfourii STAPF,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/2171f5daebdd37be529f3e85a0b3e021
Aconitum atrox (BRUHL) MUK.,RANUNCULACEAE,"Ayurveda, Folk",Aconitum balfourii STAPF,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/2171f5daebdd37be529f3e85a0b3e021/xclkon/0a378cfc6071d1b3100cb095bc70ffc0
Aconitum bisma (HAM.) RAPAICS,RANUNCULACEAE,"Ayurveda, Folk",Aconitum palmatum D.DON,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/1dd4bdb4fdf04a0c3cac083768bd8de8
Aconitum chasmanthum STAPF EX HOLMES,RANUNCULACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/bf27c32bc3526ce4bc9be16c6daad6ce
Aconitum deinorrhizum STAPF,RANUNCULACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/7d485d9c5de700655e48453e7a80d8b7
,RANUNCULACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/9183e4e463bc7478af01c7a620136a51
Aconitum ferox WALL. EX SERINGE,RANUNCULACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/2217a3cdd6a7919990e703269ad854e3
Aconitum heterophyllum WALL. EX ROYLE,RANUNCULACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/3a4a1d24321fcdd41a76080099a1cd83
,RANUNCULACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/5ba0b3c6f2ef90c9940bcd9061d29bea
Aconitum bisma (HAM.) RAPAICS,RANUNCULACEAE,"Ayurveda, Folk",Aconitum palmatum D.DON,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/1dd4bdb4fdf04a0c3cac083768bd8de8/xclkon/6f37388d3ce6a637065ac4063cbd2fa0
Acorus calamus L.,ARACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/4c42343e33282874081eaac5c354dc2e
,ACTINIOPTERIDACEAE,"Ayurveda, Siddha, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/c65a146c4229249af042aa4bc939d153/xclkon/b0cc5580bef236e0d1ed2e81891bce68
,ACTINIOPTERIDACEAE,"Ayurveda, Siddha, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/c65a146c4229249af042aa4bc939d153/xclkon/d9acf89f65f3437a2ddd7cf67ba41f1e
,ACTINIOPTERIDACEAE,"Ayurveda, Siddha, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/c65a146c4229249af042aa4bc939d153
Adansonia digitata L.,BOMBACACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/edf4adaa930a3cae64cd48af5570c613
Adenanthera pavonina L.,MIMOSACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/bc3e38d7732b742c2332310bdd76049e
Enicostemma axillare (LAM.) RAYNAL,GENTIANACEAE,"Ayurveda, Siddha, Folk",Adenema hyssopifolium G. DON Enicostemma hyssopifolium (WILLD.) VERDOORN,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/0487812b0cc32dc0742a1efb484b6759/xclkon/9389a52415f266548bb20100de980132
Adenia hondala (GAERTN.) W.J.DE WILDE,PASSIFLORACEAE,"Ayurveda, Folk",Adenia palmata ENGL. Modecca palmata LAM.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/04200a938c5e6bb2df9798dc3f74dc76
Adenia hondala (GAERTN.) W.J.DE WILDE,PASSIFLORACEAE,"Ayurveda, Folk",Adenia palmata ENGL. Modecca palmata LAM.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/04200a938c5e6bb2df9798dc3f74dc76/xclkon/757e6b1dcae7fdf9e40368de5e677895
,SCROPHULARIACEAE,"Ayurveda, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/20ddb682ed194ff1a7658decf675e2d0/xclkon/196792918ea90de9b1e68e1bff46eb1c
,SCROPHULARIACEAE,"Ayurveda, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/20ddb682ed194ff1a7658decf675e2d0
,SCROPHULARIACEAE,"Ayurveda, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/20ddb682ed194ff1a7658decf675e2d0/xclkon/6554d8cd2b1e62078240eb94bbcc093b
Justicia beddomei (CL.) BENNET,ACANTHACEAE,Ayurveda,Adhatoda beddomei C.B.CLARKE,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/408b4c4d43c5287670c593e0d995740c/xclkon/96313eaaec773d80c82da98b79c30bb5
Justicia adhatoda L.,ACANTHACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk, Sowa-Rigpa",Adhatoda vasica NEES,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/6af02657ecf8d4b1d3e0f08206e91314/xclkon/a75a0c0270c6dc24e802cda3469d09fc
Justicia adhatoda L.,ACANTHACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk, Sowa-Rigpa",Adhatoda vasica NEES,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/6af02657ecf8d4b1d3e0f08206e91314/xclkon/b078cab7460ea5405bedfc86c25f06e2
,ADIANTACEAE,"Ayurveda, Siddha, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/d55e585ca4f2480b6cbf59c6e1bdae71/xclkon/2564db2a8011c9e2f2ef3f0a0e42a2ec
,ADIANTACEAE,"Ayurveda, Siddha, Folk",,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/d55e585ca4f2480b6cbf59c6e1bdae71
,ADIANTACEAE,Ayurveda,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/24eea74e50c84fcb55c65b6f48d5efe7
,ADIANTACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/b98c6f28cd55d56248948e5970f2812b
,ADIANTACEAE,Ayurveda,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/24eea74e50c84fcb55c65b6f48d5efe7/xclkon/655d183a991a089a8813fb37841b59f0
Haldina cordifolia (ROXB.) RIDSDALE,RUBIACEAE,"Ayurveda, Siddha, Folk",Adina cordifolia BENTH. & HOOK.F.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/87d4a9ba28abca7e82c489685da8d49f/xclkon/dd8d81431e8c0a3f802bc182ecc6330d
Aegle marmelos (L.) CORREA EX. SCHULTZ,RUTACEAE,"Ayurveda, Siddha, Unani, Homeopathy, Folk, Sowa-Rigpa",Crataeva marmelos L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/7b3ca01fe9518816abcdf821a6675858
Aerva javanica (BURM.F.) JUSS.  EX SCHULT.,AMARANTHACEAE,"Ayurveda, Siddha, Folk",Aerva tomentosa FORSK.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/6030ad577f0745e800703f22db3cdd78
Aerva lanata (L.) JUSS. EX SCHULT.,AMARANTHACEAE,"Ayurveda, Siddha, Folk",Achyranthes lanata L.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/dd17f379b080d5226a4174ddbd477a84
Aerva javanica (BURM.F.) JUSS.  EX SCHULT.,AMARANTHACEAE,"Ayurveda, Siddha, Folk",Aerva tomentosa FORSK.,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/6030ad577f0745e800703f22db3cdd78/xclkon/94973e422c9a28ecbac4fb0199839702
Aeschynomene aspera L.,FABACEAE,,,,https://www.medicinalplants.in/searchpage/showdetails/xplant_id/0f9390be8b724b028288d65c4aa79c67
